Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0008589	regulation of smoothened signaling pathway	 	3.143E-8	2.846E-4	1.797E-7	1.741E-6	17	71	SALL1,FGF9,FGFR2,PRRX2,SHH,SUFU,GPC3,GLI1,GLI2,BTRC,RUNX2,FOXA1,FOXA2,PRRX1,CREBBP,RB1,IFT88
GO: Biological Process	GO:1901888	regulation of cell junction assembly	 	3.143E-8	2.846E-4	1.797E-7	1.741E-6	17	71	MMP14,SNAI2,SNAI1,SRC,NEDD4L,CAV1,TNF,TSC1,HRG,VEGFA,PTEN,PTK2,KDR,RAC1,ROCK1,GREM1,SMAD3
GO: Biological Process	GO:0002366	leukocyte activation involved in immune response	 	3.370E-8	3.052E-4	1.926E-7	1.866E-6	33	235	CCR2,CCL3,CCL19,IL23A,MYB,RIPK2,GATA3,BCL6,LILRB1,CEACAM1,SEMA4A,NOTCH2,RNF8,TGFB1,HAVCR2,TLR4,TP53,IL27,HMGB1,TSC1,CCR7,XBP1,YWHAZ,IL4,IL6,JAK3,LGALS1,NLRP3,LGALS3,LGALS9,RORC,LYN,LEF1
GO: Biological Process	GO:0002576	platelet degranulation	 	3.396E-8	3.075E-4	1.939E-7	1.878E-6	21	107	ACTN4,FAM3C,FLNA,FN1,CYB5R1,SPARC,TGFB1,TGFB2,TGFB3,TIMP3,CD36,TLN1,SERPINE1,CD63,HGF,PDGFB,HRG,VEGFA,IGF1,EGF,LYN
GO: Biological Process	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	 	3.457E-8	3.130E-4	1.971E-7	1.910E-6	14	48	MCL1,PARP1,AKT1,NOX1,SOD2,BCL2,SIRT1,HIF1A,HSPB1,MAPK7,CYP1B1,JAK2,TRAP1,FBXW7
GO: Biological Process	GO:0010623	programmed cell death involved in cell development	 	3.457E-8	3.130E-4	1.971E-7	1.910E-6	14	48	FGF2,FOXC1,FOXC2,BCL2,BDNF,BMP7,NOTCH1,TGFBR3,PAX2,SCRIB,VDR,CRYAB,CYR61,LEF1
GO: Biological Process	GO:0090311	regulation of protein deacetylation	 	3.501E-8	3.170E-4	1.994E-7	1.932E-6	13	41	SKI,SREBF1,BCL6,SIRT1,TGFB1,TP53,HDAC2,VEGFA,BRMS1,CTBP1,MAPK8,KDM5A,EP300
GO: Biological Process	GO:0031057	negative regulation of histone modification	 	3.501E-8	3.170E-4	1.994E-7	1.932E-6	13	41	UBR5,SKI,KDM1A,KDM4B,BRCA1,SIRT1,TWIST1,SIN3A,CTBP1,JARID2,DNMT1,DNMT3B,KDM5A
GO: Biological Process	GO:0007422	peripheral nervous system development	 	3.522E-8	3.189E-4	2.003E-7	1.941E-6	18	80	ERBB2,ETV1,NDRG1,AKT1,AKT2,SKI,NTRK2,RUNX1,DICER1,OSM,PARD3,CDK5,SERPINI1,HOXD9,ONECUT2,NEUROG3,ILK,RELA
GO: Biological Process	GO:1903729	regulation of plasma membrane organization	 	3.522E-8	3.189E-4	2.003E-7	1.941E-6	18	80	S100A9,RACK1,AKT1,AGR2,AR,RHOG,NOX1,NUMB,TGFB1,TGFB2,PIK3R1,EZR,PRKCI,ITGA3,ITGB1,WNT3A,KIF5B,EPHA2
GO: Biological Process	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	 	3.605E-8	3.265E-4	2.049E-7	1.985E-6	20	98	MDM2,EZH2,MDM4,FHL1,TP63,BRD7,ATM,MUC1,SOX4,CCND1,BCL2,AURKA,TP53,TP73,CDKN1A,PRMT1,PTEN,RB1,E2F1,EP300
GO: Biological Process	GO:0043270	positive regulation of ion transport	 	3.795E-8	3.437E-4	2.156E-7	2.089E-6	37	284	ACTN4,F2,F2R,AGER,CXCL9,CCL2,CCL3,AKT1,AKT2,CCL5,FHL1,CXCL12,STIM2,TNFSF11,SRI,TNFRSF11A,STIM1,BMP4,NPPA,NEDD4L,CAV1,P2RY2,SERPINE1,PDGFB,PDGFRB,PDZK1,CFTR,CNTN1,JAK3,CXCR4,WNT3A,KIF5B,RTN4,LEP,EDN1,LGALS3,CEMIP
GO: Biological Process	GO:0016241	regulation of macroautophagy	 	3.821E-8	3.460E-4	2.169E-7	2.102E-6	26	158	ERN1,ACTL6A,MTOR,TBK1,GAPDH,RIPK2,SREBF1,EHMT2,SQSTM1,EXOC7,PIM2,CAPNS1,SIRT1,TP53,CDK5,EXOC4,HIF1A,TSC1,TSC2,PRKAA2,MAPK3,MAPK8,KDR,HDAC6,IFT88,FBXW7
GO: Biological Process	GO:0048041	focal adhesion assembly	 	3.931E-8	3.560E-4	2.229E-7	2.160E-6	17	72	MMP14,SRC,BCL2,FERMT2,AJUBA,TSC1,HRG,VEGFA,ITGA2,PTEN,ITGAV,PTK2,KDR,RAC1,ROCK1,GREM1,SMAD3
GO: Biological Process	GO:0007045	cell-substrate adherens junction assembly	 	3.931E-8	3.560E-4	2.229E-7	2.160E-6	17	72	MMP14,SRC,BCL2,FERMT2,AJUBA,TSC1,HRG,VEGFA,ITGA2,PTEN,ITGAV,PTK2,KDR,RAC1,ROCK1,GREM1,SMAD3
GO: Biological Process	GO:0060420	regulation of heart growth	 	4.007E-8	3.629E-4	2.269E-7	2.199E-6	15	56	AHR,FGF2,FGF9,FGFR1,FGFR2,MTOR,GATA6,NOTCH1,TGFBR2,TP73,HDAC2,PIN1,MAPK14,PROX1,PTEN
GO: Biological Process	GO:0045600	positive regulation of fat cell differentiation	 	4.007E-8	3.629E-4	2.269E-7	2.199E-6	15	56	AKT1,SFRP2,SNAI2,BMP2,KLF5,CEBPA,CEBPB,WNT5B,UCHL3,XBP1,PPARG,CREB1,IGF1,MAPK14,PTGS2
GO: Biological Process	GO:0042130	negative regulation of T cell proliferation	 	4.134E-8	3.744E-4	2.340E-7	2.267E-6	16	64	ERBB2,SHH,CD274,LILRB1,CEACAM1,BMP4,CBLB,TGFB1,HAVCR2,CD44,PAWR,CEBPB,VSIG4,PTPN6,ITCH,LGALS9
GO: Biological Process	GO:0002263	cell activation involved in immune response	 	4.151E-8	3.759E-4	2.348E-7	2.275E-6	33	237	CCR2,CCL3,CCL19,IL23A,MYB,RIPK2,GATA3,BCL6,LILRB1,CEACAM1,SEMA4A,NOTCH2,RNF8,TGFB1,HAVCR2,TLR4,TP53,IL27,HMGB1,TSC1,CCR7,XBP1,YWHAZ,IL4,IL6,JAK3,LGALS1,NLRP3,LGALS3,LGALS9,RORC,LYN,LEF1
GO: Biological Process	GO:0072170	metanephric tubule development	 	4.170E-8	3.776E-4	2.353E-7	2.279E-6	10	23	LGR4,YAP1,SOX9,STAT1,PAX2,PKD1,HES1,WWTR1,CXCR2,LIF
GO: Biological Process	GO:0090103	cochlea morphogenesis	 	4.170E-8	3.776E-4	2.353E-7	2.279E-6	10	23	SIX1,FZD2,SOX9,GLI2,ZEB1,PAX2,CTHRC1,WNT5A,RAC1,DVL2
GO: Biological Process	GO:0072243	metanephric nephron epithelium development	 	4.170E-8	3.776E-4	2.353E-7	2.279E-6	10	23	LGR4,YAP1,SOX9,STAT1,PAX2,ADIPOQ,PKD1,HES1,WWTR1,LIF
GO: Biological Process	GO:0009299	mRNA transcription	 	4.170E-8	3.776E-4	2.353E-7	2.279E-6	10	23	FLNA,SP1,SREBF1,SRF,C5AR1,SOX17,HIF1A,HSF1,POU5F1,EEF1D
GO: Biological Process	GO:0021766	hippocampus development	 	4.327E-8	3.918E-4	2.438E-7	2.362E-6	18	81	USP9X,EZH2,SRF,KDM6B,NF2,NME1,GSK3B,HDAC1,TP73,HDAC2,CDK5,TSC1,PROX1,PTEN,ZEB2,WNT3A,DLX2,LEF1
GO: Biological Process	GO:0019229	regulation of vasoconstriction	 	4.327E-8	3.918E-4	2.438E-7	2.362E-6	18	81	F2R,ADM,AGTR1,AHR,AKT1,MMP2,CX3CL1,SHC1,RHOA,CAV1,HIF1A,PDGFB,PRKCQ,MAP2K1,PTGS2,LEP,EDN1,EGFR
GO: Biological Process	GO:1901991	negative regulation of mitotic cell cycle phase transition	 	4.362E-8	3.951E-4	2.457E-7	2.380E-6	26	159	MDM2,EZH2,MDM4,FOXO4,MAD2L2,FHL1,TP63,BRD7,ATM,MUC1,SOX4,CCND1,BCL2,AURKA,CCNA2,TP53,TP73,CDKN1A,CHEK1,FOXN3,PRMT1,PTEN,RB1,E2F1,HMGA2,EP300
GO: Biological Process	GO:0002675	positive regulation of acute inflammatory response	 	4.384E-8	3.970E-4	2.468E-7	2.391E-6	12	35	CCR2,CCL5,TNFSF11,TNFRSF11A,C3,OSM,TNF,PLA2G4A,CCR5,CCR7,IL6,PTGS2
GO: Biological Process	GO:0060563	neuroepithelial cell differentiation	 	4.438E-8	4.019E-4	2.496E-7	2.418E-6	19	90	JAG1,MITF,FGF2,FGFR1,ASCL1,SOX4,BCL2,BMP2,NODAL,NOTCH1,SCRIB,CDH2,SLC9A3R1,HES1,PLS3,WNT11,ZEB2,RAC1,LEF1
GO: Biological Process	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	 	4.626E-8	4.190E-4	2.596E-7	2.515E-6	14	49	FGF1,FGF2,FGF9,FGFR1,FGFR2,PIK3R3,IRS2,ATM,INPP4B,PIK3CA,PIK3R1,IRS1,PTPN11,FGF19
GO: Biological Process	GO:0051055	negative regulation of lipid biosynthetic process	 	4.626E-8	4.190E-4	2.596E-7	2.515E-6	14	49	SNAI2,SNAI1,DKK3,CEACAM1,BMP2,STK11,BRCA1,NFKB1,SIRT1,PDGFB,PRKAA1,PROX1,FGF19,FBXW7
GO: Biological Process	GO:0045058	T cell selection	 	4.626E-8	4.190E-4	2.596E-7	2.515E-6	14	49	FOXN1,SHH,FAS,IL23A,RHOA,GATA3,SRF,BCL2,STK11,BRAF,TGFB1,CCR7,IL4,IL6
GO: Biological Process	GO:0002762	negative regulation of myeloid leukocyte differentiation	 	4.626E-8	4.190E-4	2.596E-7	2.515E-6	14	49	CCL3,CUL4A,MYC,LILRB1,INPP4B,CEACAM1,NME1,RUNX1,TLR4,ADIPOQ,PIK3R1,CTNNB1,IL4,LYN
GO: Biological Process	GO:0044257	cellular protein catabolic process	 	4.647E-8	4.208E-4	2.606E-7	2.525E-6	67	694	USP9X,MDM2,AXIN1,RACK1,UBR5,AKT1,SPOP,MAD2L2,FBXO45,MAGEC2,CUL4A,CUL3,FMR1,ANXA2,SHH,FBXO11,SIAH1,SIAH2,SKP1,SKP2,ARRB1,UHRF1,USP17L9P,ATM,SUFU,AURKA,SQSTM1,UHRF2,BTRC,USP22,NEDD4L,RNF8,CAV1,SIRT1,GSK3B,TGFB1I1,MTA1,FURIN,TP53,CEBPA,SENP1,UCHL3,PKD1,HSPA5,SMURF2,VCP,VHL,EZR,WNT1,XBP1,WWTR1,ISG15,UBE3C,CTNNB1,CTSL,DAB2IP,PTEN,PTK2,ITCH,HDAC6,PDCD6IP,RB1,TBL1XR1,EGF,PSME3,SMAD7,FBXW7
GO: Biological Process	GO:2000772	regulation of cellular senescence	 	4.795E-8	4.342E-4	2.685E-7	2.602E-6	11	29	TP63,BCL6,TERT,SIRT1,PAWR,TP53,TWIST1,NUAK1,KRAS,YPEL3,HMGA2
GO: Biological Process	GO:0035162	embryonic hemopoiesis	 	4.795E-8	4.342E-4	2.685E-7	2.602E-6	11	29	AHR,KMT2A,KDM1A,GATA1,GATA3,RUNX1,TGFBR2,PBX1,HIF1A,VEGFA,KDR
GO: Biological Process	GO:0014014	negative regulation of gliogenesis	 	4.848E-8	4.390E-4	2.713E-7	2.629E-6	13	42	F2,SKI,ASCL2,BMP4,NKX6-1,NOTCH1,NTRK3,TERT,DICER1,HES1,CTNNB1,DLX2,LIN28A
GO: Biological Process	GO:0010639	negative regulation of organelle organization	 	4.980E-8	4.510E-4	2.786E-7	2.699E-6	41	337	EPS8,ESR1,PARP1,UBR5,AKT1,FGFR2,MAD2L2,SKI,TET1,ATM,TRIM37,KDM1A,KDM4B,SRC,PPARGC1A,BMP4,BMP7,BRCA1,EHMT2,EML4,CAPZA1,SIRT1,GSN,OSM,ARHGEF2,TP53,HGF,CHEK1,PFN2,TWIST1,SIN3A,IGF1,CTBP1,SCIN,JARID2,DNMT1,DNMT3B,HDAC6,KDM5A,LIF,LMNA
GO: Biological Process	GO:0018022	peptidyl-lysine methylation	 	5.002E-8	4.530E-4	2.796E-7	2.709E-6	22	119	EZH2,KMT2A,KDM1A,KDM4B,MYB,EED,GATA3,BRCA1,EHMT2,KMT5A,SIRT1,SETD7,SUZ12,HDAC2,KDM6A,CTNNB1,JARID2,SETDB1,TET3,DNMT1,DNMT3B,SMAD4
GO: Biological Process	GO:0008637	apoptotic mitochondrial changes	 	5.046E-8	4.569E-4	2.819E-7	2.731E-6	23	129	MCL1,AKT1,MMP9,FAS,TP63,BBC3,SOD2,TNFSF10,BCL2,PIM2,GSK3B,TP53,TP53BP2,TP73,HGF,HK2,YWHAG,YWHAZ,IGF1,MAPK8,JUN,E2F1,LMNA
GO: Biological Process	GO:0032655	regulation of interleukin-12 production	 	5.198E-8	4.707E-4	2.902E-7	2.812E-6	15	57	AGER,CCL19,IL23A,RIPK2,LILRB1,NFKB1,CD36,TLR4,HMGB1,CCR7,IRF8,MAPK14,JAK3,RELA,LGALS9
GO: Biological Process	GO:0071230	cellular response to amino acid stimulus	 	5.241E-8	4.746E-4	2.924E-7	2.833E-6	16	65	CCL5,MMP2,MMP3,FAS,PDGFD,ZEB1,NTRK2,TNF,CDH1,CPEB1,CEBPB,HSF1,XBP1,DNMT1,DNMT3B,EGFR
GO: Biological Process	GO:0044839	cell cycle G2/M phase transition	 	5.530E-8	5.008E-4	3.084E-7	2.988E-6	30	205	MTA3,FOXO4,FHL1,FOXM1,PPM1D,BIRC5,SKP1,SKP2,CEP164,ATM,NES,CCND1,AURKA,BTRC,CCNA2,BRD4,PBX1,AJUBA,TP53,CDKN1A,CHEK1,FOXN3,HMMR,CDK14,ABCB1,SIN3A,YWHAG,PRKCQ,HMGA2,LMNB1
GO: Biological Process	GO:0001541	ovarian follicle development	 	6.075E-8	5.501E-4	3.385E-7	3.280E-6	17	74	ESR1,ESR2,AHR,MMP2,MMP14,MMP19,FOXC1,FOXO3,ANG,ARRB1,FSHR,BCL2,BMP4,CEBPB,VEGFA,KDR,SMAD4
GO: Biological Process	GO:1902807	negative regulation of cell cycle G1/S phase transition	 	6.139E-8	5.559E-4	3.419E-7	3.313E-6	20	101	MDM2,EZH2,MDM4,FHL1,TP63,BRD7,ATM,MUC1,SOX4,CCND1,BCL2,AURKA,TP53,TP73,CDKN1A,PRMT1,PTEN,RB1,E2F1,EP300
GO: Biological Process	GO:0060513	prostatic bud formation	 	6.257E-8	5.666E-4	3.476E-7	3.368E-6	7	10	SHH,AR,TP63,BMP4,BMP7,GLI2,WNT5A
GO: Biological Process	GO:0090308	regulation of methylation-dependent chromatin silencing	 	6.257E-8	5.666E-4	3.476E-7	3.368E-6	7	10	TET1,UHRF1,UHRF2,POU5F1,SETDB1,DNMT1,TRIM28
GO: Biological Process	GO:0090343	positive regulation of cell aging	 	6.257E-8	5.666E-4	3.476E-7	3.368E-6	7	10	SIRT1,PAWR,TP53,KRAS,YPEL3,HMGA2,LMNA
GO: Biological Process	GO:0060462	lung lobe development	 	6.257E-8	5.666E-4	3.476E-7	3.368E-6	7	10	GRHL2,FGFR2,SHH,BMP4,TGFBR2,IGF1,LIF
GO: Biological Process	GO:0034694	response to prostaglandin	 	6.289E-8	5.695E-4	3.488E-7	3.379E-6	12	36	AKT1,CCL19,CCL21,FN1,TGFBR3,CCR7,TNC,PPARG,PRKAA1,PRKAA2,PTGER2,EDN1
GO: Biological Process	GO:0043277	apoptotic cell clearance	 	6.289E-8	5.695E-4	3.488E-7	3.379E-6	12	36	CCR2,FCN2,CCL2,AXL,C3,TGM2,CD36,HMGB1,TYRO3,ITGAV,RAC1,NR1H3
GO: Biological Process	GO:1902742	apoptotic process involved in development	 	6.289E-8	5.695E-4	3.488E-7	3.379E-6	12	36	FOXC1,FOXC2,SLIT3,BMP7,NOTCH1,TGFBR3,PAX2,SCRIB,VDR,CRYAB,CYR61,LEF1
GO: Biological Process	GO:0002768	immune response-regulating cell surface receptor signaling pathway	 	6.488E-8	5.876E-4	3.596E-7	3.484E-6	43	366	SHC1,IKBKG,SKP1,CD24,SRC,RIPK2,GATA3,BCL2,LILRB1,CEACAM1,STK11,NFKB1,NFKBIA,C5AR1,MAP3K7,BTRC,CBLB,PAK1,PAWR,CDC42,PIK3CA,PIK3R1,HRAS,CCR7,EZR,CREBBP,CRK,PRKCQ,MAPK1,MAPK3,MAPK8,PTEN,PTK2,JUN,PTPN6,KCNN4,RAC1,KRAS,RELA,LGALS3,PSME3,LYN,EP300
GO: Biological Process	GO:0045605	negative regulation of epidermal cell differentiation	 	6.568E-8	5.948E-4	3.629E-7	3.516E-6	8	14	EZH2,GRHL2,MSX2,TP63,NOTCH1,TGFB2,OVOL2,HES1
GO: Biological Process	GO:0034616	response to laminar fluid shear stress	 	6.568E-8	5.948E-4	3.629E-7	3.516E-6	8	14	ETS1,KLF2,TGFB1,TGFB3,KLF4,XBP1,MAPK7,SMAD7
GO: Biological Process	GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator	 	6.568E-8	5.948E-4	3.629E-7	3.516E-6	8	14	MDM2,SNAI2,SNAI1,KDM1A,SIRT1,CD44,TWIST1,SENP2
GO: Biological Process	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	 	6.568E-8	5.948E-4	3.629E-7	3.516E-6	8	14	MSX2,SNAI2,SNAI1,NOTCH1,TGFB1,TGFB2,TGFB3,SMAD4
GO: Biological Process	GO:0031652	positive regulation of heat generation	 	6.568E-8	5.948E-4	3.629E-7	3.516E-6	8	14	CCR2,CCL5,TNFSF11,TNFRSF11A,TNF,PLA2G4A,CCR5,PTGS2
GO: Biological Process	GO:0043966	histone H3 acetylation	 	6.612E-8	5.987E-4	3.651E-7	3.537E-6	16	66	KMT2A,TRIM16,GATA3,KAT2B,BRCA1,MAP3K7,TCF3,SIRT1,CHEK1,SIN3A,HDAC5,LIF,ING4,LEF1,EP300,SMAD4
GO: Biological Process	GO:0033574	response to testosterone	 	6.644E-8	6.016E-4	3.662E-7	3.548E-6	13	43	EPO,ESR2,RPS6KB1,HOXB13,BMP4,NME1,CA9,SIRT1,HSF1,WNT5A,DNMT1,EDN1,ELK1
GO: Biological Process	GO:0030199	collagen fibril organization	 	6.644E-8	6.016E-4	3.662E-7	3.548E-6	13	43	MMP11,FOXC1,FOXC2,SFRP2,ANXA2,DDR2,TGFB2,TGFBR1,TNXB,CYP1B1,LOX,LOXL2,GREM1
GO: Biological Process	GO:1901031	regulation of response to reactive oxygen species	 	6.644E-8	6.016E-4	3.662E-7	3.548E-6	13	43	MET,RACK1,FOXO3,STK26,BMP7,CD36,PAWR,TNF,TP53,HGF,TXN,HDAC6,TRAP1
GO: Biological Process	GO:0042552	myelination	 	6.830E-8	6.185E-4	3.756E-7	3.639E-6	22	121	ERBB2,NDRG1,AKT1,AKT2,SKI,MTOR,WASF3,EPB41L3,DICER1,TGFB1,TNF,PARD3,CDH2,HGF,TSC1,QKI,EIF2AK3,CTNNB1,ILK,PTEN,CXCR4,RARB
GO: Biological Process	GO:0097150	neuronal stem cell population maintenance	 	6.840E-8	6.194E-4	3.756E-7	3.639E-6	10	24	JAG1,FOXO1,FOXO3,SOX2,NOTCH1,CDH2,HES1,PRRX1,MAPK8,PROX1
GO: Biological Process	GO:0048745	smooth muscle tissue development	 	6.840E-8	6.194E-4	3.756E-7	3.639E-6	10	24	AHR,SHH,SIX1,TP63,SOX9,SRF,BMP4,PDGFRB,PROX1,FOXP2
GO: Biological Process	GO:0070230	positive regulation of lymphocyte apoptotic process	 	6.840E-8	6.194E-4	3.756E-7	3.639E-6	10	24	CCL5,FAS,BBC3,MYC,CEACAM1,TGFB2,TP53,PDCD1,WNT5A,LGALS9
GO: Biological Process	GO:0031000	response to caffeine	 	6.840E-8	6.194E-4	3.756E-7	3.639E-6	10	24	PPARGC1A,HDAC2,PPARG,IGF1,PRKAA1,PRKAA2,IL6,IRS1,DNMT1,DNMT3B
GO: Biological Process	GO:0006346	methylation-dependent chromatin silencing	 	6.840E-8	6.194E-4	3.756E-7	3.639E-6	10	24	MBD3,TET1,UHRF1,UHRF2,SIRT1,POU5F1,SETDB1,DNMT1,DNMT3B,TRIM28
GO: Biological Process	GO:0060706	cell differentiation involved in embryonic placenta development	 	7.242E-8	6.558E-4	3.965E-7	3.842E-6	11	30	GRHL2,AKT1,ASCL2,SNAI1,SOCS3,NR2F2,HAND1,ITGAV,KRT8,LIF,SENP2
GO: Biological Process	GO:0010226	response to lithium ion	 	7.242E-8	6.558E-4	3.965E-7	3.842E-6	11	30	SHH,FAS,ASCL1,GSK3B,CDH1,CEBPA,PLA2G4A,PPARG,CTNNB1,PTGS2,LEF1
GO: Biological Process	GO:0060561	apoptotic process involved in morphogenesis	 	7.242E-8	6.558E-4	3.965E-7	3.842E-6	11	30	FOXC1,FOXC2,BMP7,NOTCH1,TGFBR3,PAX2,SCRIB,VDR,CRYAB,CYR61,LEF1
GO: Biological Process	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	 	7.242E-8	6.558E-4	3.965E-7	3.842E-6	11	30	MCL1,PARP1,AKT1,NOX1,SOD2,SIRT1,HIF1A,HSPB1,MAPK7,TRAP1,FBXW7
GO: Biological Process	GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	 	7.242E-8	6.558E-4	3.965E-7	3.842E-6	11	30	MDM2,SNAI2,SNAI1,ATM,KDM1A,KMT5A,SIRT1,CD44,HIC1,TWIST1,SENP2
GO: Biological Process	GO:0006479	protein methylation	 	7.435E-8	6.733E-4	4.066E-7	3.939E-6	27	174	EZH2,SATB1,KMT2A,FBXO11,TET1,KDM1A,KDM4B,MYB,EED,GATA3,BRCA1,EHMT2,KMT5A,SIRT1,SETD7,SUZ12,HDAC2,PRMT1,KDM6A,XBP1,CTNNB1,JARID2,SETDB1,TET3,DNMT1,DNMT3B,SMAD4
GO: Biological Process	GO:0008213	protein alkylation	 	7.435E-8	6.733E-4	4.066E-7	3.939E-6	27	174	EZH2,SATB1,KMT2A,FBXO11,TET1,KDM1A,KDM4B,MYB,EED,GATA3,BRCA1,EHMT2,KMT5A,SIRT1,SETD7,SUZ12,HDAC2,PRMT1,KDM6A,XBP1,CTNNB1,JARID2,SETDB1,TET3,DNMT1,DNMT3B,SMAD4
GO: Biological Process	GO:0003143	embryonic heart tube morphogenesis	 	7.506E-8	6.798E-4	4.102E-7	3.975E-6	17	75	YAP1,TEAD2,SHH,SUFU,SRF,NODAL,NOTCH1,NOTCH2,SOX17,HIF1A,OVOL2,HAND1,HES1,WNT5A,MICAL2,WNT3A,SMAD3
GO: Biological Process	GO:0009799	specification of symmetry	 	7.516E-8	6.807E-4	4.105E-7	3.977E-6	24	142	AXIN1,MAP3K4,SHH,SUFU,SRF,NKX3-2,BMP4,TBXT,NODAL,NOTCH1,NOTCH2,SOX17,HIF1A,OVOL2,HAND1,WNT5A,MICAL2,CTNNB1,MAPK8,WNT3A,IFT88,GREM1,SMAD2,SMAD3
GO: Biological Process	GO:0031396	regulation of protein ubiquitination	 	7.571E-8	6.856E-4	4.133E-7	4.004E-6	35	267	AXIN1,UBR5,MAD2L2,MAGEC2,SIAH2,SKP1,SKP2,ARRB1,MTOR,SUFU,KDM1A,SOX4,HDAC8,RIPK2,BMI1,BRCA1,SPHK1,BTRC,CAV1,TGFBR1,NMI,MTA1,RASSF1,CDK5,PIN1,HSPA5,WNT1,ISG15,PTEN,PTK2,EGF,SENP2,PSME3,SMAD7,FBXW7
GO: Biological Process	GO:0000086	G2/M transition of mitotic cell cycle	 	8.058E-8	7.298E-4	4.396E-7	4.259E-6	29	197	MTA3,FOXO4,FHL1,FOXM1,PPM1D,BIRC5,SKP1,SKP2,CEP164,ATM,NES,CCND1,AURKA,BTRC,CCNA2,BRD4,PBX1,AJUBA,CDKN1A,CHEK1,FOXN3,HMMR,CDK14,ABCB1,SIN3A,YWHAG,PRKCQ,HMGA2,LMNB1
GO: Biological Process	GO:0072074	kidney mesenchyme development	 	8.082E-8	7.319E-4	4.396E-7	4.259E-6	9	19	SHH,SIX1,MYC,STAT1,BMP4,BMP7,PAX2,PDGFRB,SMAD4
GO: Biological Process	GO:0071697	ectodermal placode morphogenesis	 	8.082E-8	7.319E-4	4.396E-7	4.259E-6	9	19	AXIN1,SIX1,SOX2,NRP1,CDC42,HDAC1,HDAC2,CTNNB1,PROX1
GO: Biological Process	GO:0071696	ectodermal placode development	 	8.082E-8	7.319E-4	4.396E-7	4.259E-6	9	19	AXIN1,SIX1,SOX2,NRP1,CDC42,HDAC1,HDAC2,CTNNB1,PROX1
GO: Biological Process	GO:0060231	mesenchymal to epithelial transition	 	8.082E-8	7.319E-4	4.396E-7	4.259E-6	9	19	FZD7,SALL1,GATA3,STAT1,BMP4,PAX2,CTNNB1,LIF,GREM1
GO: Biological Process	GO:0060788	ectodermal placode formation	 	8.082E-8	7.319E-4	4.396E-7	4.259E-6	9	19	AXIN1,SIX1,SOX2,NRP1,CDC42,HDAC1,HDAC2,CTNNB1,PROX1
GO: Biological Process	GO:0044003	modification by symbiont of host morphology or physiology	 	8.093E-8	7.329E-4	4.397E-7	4.260E-6	14	51	CCR2,FBLN1,MMP9,HIPK2,MYC,CEACAM1,NTRK3,TGFB1,TYMS,CCR5,ITGAV,PTX3,KPNA2,SMAD3
GO: Biological Process	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	 	8.093E-8	7.329E-4	4.397E-7	4.260E-6	14	51	CD274,AXL,LILRB1,HDAC3,TWIST2,SIRT1,HAVCR2,TLR4,ERRFI1,TWIST1,ADIPOQ,HSF1,POMC,LGALS9
GO: Biological Process	GO:0032787	monocarboxylic acid metabolic process	 	8.185E-8	7.412E-4	4.444E-7	4.305E-6	61	617	FASN,FBP1,AKT1,AKT2,ALDH1A1,ALDOB,PDPN,MTOR,NR5A2,IRS2,MYC,GAPDH,SREBF1,STAT3,STAT5A,STAT5B,CEACAM1,PPARGC1A,BRCA1,BSG,SPHK1,GLO1,C3,GPI,NUCB2,CAV1,SIRT1,CD36,TLR4,TNXB,TP53,HIF1A,HK2,MGLL,HNF4A,TWIST1,ADIPOQ,PLA2G4A,CYP7B1,QKI,EIF2AK3,XBP1,PPARG,IGF1,MAPK14,CSPG4,PRKAA1,PRKAA2,MAPK3,PROX1,CYP1B1,HDAC4,IRS1,PTGDS,PTGS2,FGF19,EGLN3,NR1H3,LEP,EDN1,ENO1
GO: Biological Process	GO:0006305	DNA alkylation	 	8.301E-8	7.517E-4	4.497E-7	4.357E-6	16	67	EZH2,GRHL2,PARP1,KMT2A,MBD3,TET1,BRCA1,EHMT2,GSK3B,MAEL,PIK3CA,MPHOSPH8,TET3,DNMT1,DNMT3B,TRIM28
GO: Biological Process	GO:0006306	DNA methylation	 	8.301E-8	7.517E-4	4.497E-7	4.357E-6	16	67	EZH2,GRHL2,PARP1,KMT2A,MBD3,TET1,BRCA1,EHMT2,GSK3B,MAEL,PIK3CA,MPHOSPH8,TET3,DNMT1,DNMT3B,TRIM28
GO: Biological Process	GO:2000676	positive regulation of type B pancreatic cell apoptotic process	 	8.308E-8	7.524E-4	4.497E-7	4.357E-6	6	7	AGER,SPOP,HDAC3,HDAC1,IL6,EIF2S1
GO: Biological Process	GO:0036295	cellular response to increased oxygen levels	 	8.308E-8	7.524E-4	4.497E-7	4.357E-6	6	7	FOXO1,FAS,NOX1,CAV1,PPARG,DNMT3B
