##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
TNF signaling pathway	KEGG PATHWAY	hsa04668	36	110	9.44509577374e-26	2.67492240686e-24	8503|4323|5295|5290|5743|7124|1051|6347|4790|182|83737|3976|6364|8517|4314|207|4318|208|5595|6885|153090|3725|3726|9021|4792|1437|1432|5594|5599|6352|3569|355|1385|5970|6374|6376	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:3569%09red/hsa:8503%09red/hsa:3726%09red/hsa:3976%09red/hsa:3725%09red/hsa:8517%09red/hsa:355%09red/hsa:4314%09red/hsa:83737%09red/hsa:153090%09red/hsa:7124%09red/hsa:6364%09red/hsa:1051%09red/hsa:6347%09red/hsa:4323%09red/hsa:5595%09red/hsa:5594%09red/hsa:6885%09red/hsa:5290%09red/hsa:4792%09red/hsa:4318%09red/hsa:5599%09red/hsa:5295%09red/hsa:4790%09red/hsa:208%09red/hsa:5970%09red/hsa:182%09red/hsa:207%09red/hsa:1432%09red/hsa:1437%09red/hsa:1385%09red/hsa:6376%09red/hsa:6374%09red/hsa:6352%09red/hsa:5743%09red/hsa:9021%09red
NGF signalling via TRKA from the plasma membrane	Reactome	R-HSA-187037	57	363	1.30318122677e-25	3.62236115071e-24	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|4205|2309|8660|5728|7249|27161|5921|54756|1398|2246|2247|5781|3667|1399|207|1437|208|9462|2932|4193|673|1956|3265|8452|153090|387|5595|2335|10197|1026|1432|5594|2475|5578|6774|5598|4915|6464|2002|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187037
Signaling by EGFR	Reactome	R-HSA-177929	55	338	2.02799354641e-25	5.5345787512e-24	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|10252|10253|2309|5728|7249|27161|5921|54756|9462|2246|2247|26018|5781|8038|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|1385|102|2335|10197|1026|5595|5594|2475|5578|6464|998|8660|9965|3845|408|6868|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177929
Wnt signaling pathway	KEGG PATHWAY	hsa04310	39	143	2.46640983762e-25	6.61085922547e-24	81839|595|5176|4088|4089|387|59343|1487|64321|8324|10023|3725|51176|8945|7157|6477|1856|2033|81029|7471|7474|1460|894|2932|8061|6885|8312|4609|1499|5578|1387|6423|5599|89780|6500|79718|22943|5879|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa04310/hsa:22943%09red/hsa:59343%09red/hsa:89780%09red/hsa:595%09red/hsa:3725%09red/hsa:2535%09red/hsa:8312%09red/hsa:1460%09red/hsa:5578%09red/hsa:7474%09red/hsa:7471%09red/hsa:6423%09red/hsa:81029%09red/hsa:6500%09red/hsa:1856%09red/hsa:8945%09red/hsa:1487%09red/hsa:4089%09red/hsa:5176%09red/hsa:387%09red/hsa:81839%09red/hsa:894%09red/hsa:6885%09red/hsa:79718%09red/hsa:64321%09red/hsa:5599%09red/hsa:5879%09red/hsa:8061%09red/hsa:8324%09red/hsa:2033%09red/hsa:2932%09red/hsa:1387%09red/hsa:7157%09red/hsa:4088%09red/hsa:51176%09red/hsa:6477%09red/hsa:1499%09red/hsa:4609%09red/hsa:10023%09red
@@Wnt signaling pathway	PANTHER	P00057	45	294	4.27317162613e-20	6.10860058173e-19	595|4089|1487|3066|3065|8324|1000|51176|5584|6478|8945|7157|6477|1856|2033|81029|8841|7474|1460|408|999|2932|55869|6885|72|8312|4609|1499|7124|5101|6862|5578|59|1003|6423|7088|11167|7046|79718|1009|89780|7471|1387|5588|2535	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00057
Downstream signal transduction	Reactome	R-HSA-186763	54	329	3.87937946293e-25	1.02156992524e-23	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|2309|5728|7249|27161|5921|54756|1398|2246|2247|5781|3667|1399|207|1437|208|9462|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6774|6776|6777|6464|6772|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186763
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	50	277	5.45301960101e-25	1.41120386571e-23	8503|10672|3309|5155|3718|5290|391|11343|5054|81|5321|3717|7078|4067|3479|5588|5781|1398|7534|29789|3082|308|5295|207|5747|208|998|1950|387|388|5595|10447|5777|2335|1437|967|1432|5594|948|5578|2316|51706|6464|2147|7422|408|7042|5879|2149|7040	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Adherens junction	KEGG PATHWAY	hsa04520	31	74	5.73885191426e-25	1.46000283446e-23	6591|4087|4088|4089|56288|5879|81|51176|7048|1500|10810|2033|6885|1460|3480|999|998|7046|6615|387|1499|6714|4233|2260|5777|7082|5595|5594|1956|1387|2064	http://www.genome.jp/kegg-bin/show_pathway?hsa04520/hsa:3480%09red/hsa:1460%09red/hsa:1500%09red/hsa:2064%09red/hsa:1956%09red/hsa:4088%09red/hsa:4089%09red/hsa:4087%09red/hsa:387%09red/hsa:81%09red/hsa:5595%09red/hsa:5594%09red/hsa:6885%09red/hsa:999%09red/hsa:998%09red/hsa:6591%09red/hsa:5879%09red/hsa:6714%09red/hsa:6615%09red/hsa:10810%09red/hsa:7082%09red/hsa:2033%09red/hsa:1387%09red/hsa:4233%09red/hsa:5777%09red/hsa:7046%09red/hsa:51176%09red/hsa:2260%09red/hsa:56288%09red/hsa:1499%09red/hsa:7048%09red
VEGFA-VEGFR2 Pathway	Reactome	R-HSA-4420097	52	309	1.07745688618e-24	2.69543797692e-23	5159|152559|3717|558|5037|5295|5155|3718|5290|5058|5747|2475|857|1500|10810|5921|54756|1398|2246|2247|408|3667|207|1437|208|9462|998|673|1956|3265|8452|153090|387|5595|6093|3315|5594|10197|5879|1432|2335|8877|5578|1003|6464|3685|8660|9965|3845|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4420097
Colorectal cancer	KEGG PATHWAY	hsa05210	29	62	1.62921807128e-24	4.00894479507e-23	8503|595|4087|4088|4089|4609|5290|332|3725|51176|7157|596|5295|207|208|2932|673|7046|7040|8312|387|1499|7048|5595|5594|5599|3845|7042|5879	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:8503%09red/hsa:596%09red/hsa:595%09red/hsa:3725%09red/hsa:332%09red/hsa:8312%09red/hsa:4088%09red/hsa:4089%09red/hsa:4087%09red/hsa:387%09red/hsa:5595%09red/hsa:5594%09red/hsa:5290%09red/hsa:673%09red/hsa:7040%09red/hsa:5295%09red/hsa:5599%09red/hsa:208%09red/hsa:5879%09red/hsa:3845%09red/hsa:207%09red/hsa:2932%09red/hsa:7157%09red/hsa:7046%09red/hsa:51176%09red/hsa:7042%09red/hsa:1499%09red/hsa:4609%09red/hsa:7048%09red
Prolactin signaling pathway	KEGG PATHWAY	hsa04917	30	72	3.75244340499e-24	9.08454443691e-23	8503|595|8600|5295|3717|5290|2099|8792|2309|4790|894|207|208|2932|3265|5595|6714|9021|5970|1432|5594|5599|6776|6777|6464|6772|6774|2001|3845|2100	http://www.genome.jp/kegg-bin/show_pathway?hsa04917/hsa:8503%09red/hsa:8792%09red/hsa:595%09red/hsa:5595%09red/hsa:2099%09red/hsa:2100%09red/hsa:2001%09red/hsa:6464%09red/hsa:8600%09red/hsa:894%09red/hsa:5594%09red/hsa:5290%09red/hsa:3717%09red/hsa:6774%09red/hsa:5599%09red/hsa:5295%09red/hsa:4790%09red/hsa:208%09red/hsa:5970%09red/hsa:3845%09red/hsa:6714%09red/hsa:207%09red/hsa:6776%09red/hsa:6777%09red/hsa:1432%09red/hsa:6772%09red/hsa:2932%09red/hsa:2309%09red/hsa:3265%09red/hsa:9021%09red
Signaling by the B Cell Receptor (BCR)	Reactome	R-HSA-983705	43	207	9.49492391639e-24	2.26220330135e-22	5159|8503|5295|5155|2475|5290|3164|2309|5728|8945|4067|6786|7249|27161|5781|2254|2246|2247|8517|3667|207|10197|208|2932|4193|5777|1956|3265|1950|4790|4792|868|1026|5595|5594|6500|8660|9965|6885|3845|1385|5970|2064	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983705
Glioma	KEGG PATHWAY	hsa05214	28	65	6.01656506596e-23	1.41107252563e-21	5159|8503|595|5295|5155|2475|5290|1871|7039|5728|7157|3479|5925|3480|207|208|4193|673|1956|3265|1950|1869|1026|5595|5594|5578|6464|3845	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:8503%09red/hsa:595%09red/hsa:3480%09red/hsa:5595%09red/hsa:5578%09red/hsa:5925%09red/hsa:3479%09red/hsa:5728%09red/hsa:1871%09red/hsa:1950%09red/hsa:1956%09red/hsa:7039%09red/hsa:6464%09red/hsa:5155%09red/hsa:5594%09red/hsa:5290%09red/hsa:673%09red/hsa:5295%09red/hsa:5159%09red/hsa:208%09red/hsa:3845%09red/hsa:207%09red/hsa:1026%09red/hsa:7157%09red/hsa:3265%09red/hsa:4193%09red/hsa:2475%09red/hsa:1869%09red
Signaling by NOTCH	Reactome	R-HSA-157118	33	108	6.11061464715e-23	1.41108193621e-21	595|102|3066|3065|1871|9759|8850|7157|182|83737|27161|8841|3280|408|1272|2033|55869|6868|4609|1869|3725|5045|10014|4854|7088|6500|3091|79718|1385|4855|1387|4853|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Downstream signaling events of B Cell Receptor (BCR)	Reactome	R-HSA-1168372	39	177	1.85735013623e-22	4.22406447648e-21	5159|8503|5295|5155|2475|5290|3164|2309|5728|8945|7249|27161|5781|2254|2246|2247|8517|3667|207|208|2932|4193|1956|3265|1950|4790|4792|10197|1026|5595|5594|6500|8660|9965|6885|3845|1385|5970|2064	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1168372
IGF1R signaling cascade	Reactome	R-HSA-2428924	47	280	2.11755148236e-22	4.60644170294e-21	5159|152559|3717|5037|5295|5155|3718|5290|5562|5747|7248|1981|3479|7249|5563|5921|54756|3480|2246|2247|5781|3667|207|1437|208|9462|673|1956|3265|8452|153090|2335|10197|6794|5595|5594|2475|1977|6198|6464|8660|9965|3845|408|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428924
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	R-HSA-2404192	47	280	2.11755148236e-22	4.60644170294e-21	5159|152559|3717|5037|5295|5155|3718|5290|5562|5747|7248|1981|3479|7249|5563|5921|54756|3480|2246|2247|5781|3667|207|1437|208|9462|673|1956|3265|8452|153090|2335|10197|6794|5595|5594|2475|1977|6198|6464|8660|9965|3845|408|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2404192
IRS-related events triggered by IGF1R	Reactome	R-HSA-2428928	47	280	2.11755148236e-22	4.60644170294e-21	5159|152559|3717|5037|5295|5155|3718|5290|5562|5747|7248|1981|3479|7249|5563|5921|54756|3480|2246|2247|5781|3667|207|1437|208|9462|673|1956|3265|8452|153090|2335|10197|6794|5595|5594|2475|1977|6198|6464|8660|9965|3845|408|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428928
Bladder cancer	KEGG PATHWAY	hsa05219	24	41	2.76191051824e-22	5.9223252684e-21	595|1871|7157|3576|5925|4312|4313|11186|4318|999|4193|673|1956|3265|1950|4609|1869|6714|1026|5595|5594|3845|7422|2064	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:11186%09red/hsa:5925%09red/hsa:1871%09red/hsa:2064%09red/hsa:1950%09red/hsa:1956%09red/hsa:595%09red/hsa:5595%09red/hsa:5594%09red/hsa:673%09red/hsa:999%09red/hsa:3576%09red/hsa:3845%09red/hsa:7422%09red/hsa:6714%09red/hsa:1026%09red/hsa:4318%09red/hsa:4312%09red/hsa:4313%09red/hsa:7157%09red/hsa:3265%09red/hsa:4193%09red/hsa:4609%09red/hsa:1869%09red
Interleukin signaling pathway	PANTHER	P00036	30	88	4.15361334761e-22	8.78108962642e-21	2475|3569|3718|5290|6722|2309|2002|3579|207|3576|5921|3589|3667|3605|208|2932|673|51561|4609|1026|5595|5594|3565|6774|5598|6776|6777|6464|6772|8660	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00036
Signaling by Wnt	Reactome	R-HSA-195721	50	329	4.59176358576e-22	9.57255158641e-21	55366|7015|23513|50855|8549|3065|64321|8324|6658|10023|51176|4920|8945|6662|857|89780|1856|25776|81029|27161|7474|1460|207|208|64750|2932|6423|6885|8452|8312|4609|1499|387|2033|10197|5578|1387|7471|6659|4919|6657|7088|6500|3014|3015|22943|7534|1487|5879|2535	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
Insulin signaling pathway	KEGG PATHWAY	hsa04910	35	139	6.56557824197e-22	1.34999081386e-20	8503|5295|2475|5290|6720|2194|7249|7248|8660|5584|2203|10891|5562|5563|1399|1398|3667|207|208|2932|673|3265|9021|868|5595|5594|2319|1977|6464|2002|5599|23265|3845|3099|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5584%09red/hsa:3667%09red/hsa:8503%09red/hsa:2002%09red/hsa:868%09red/hsa:6198%09red/hsa:1399%09red/hsa:1398%09red/hsa:7249%09red/hsa:7248%09red/hsa:1977%09red/hsa:10891%09red/hsa:6464%09red/hsa:2319%09red/hsa:5563%09red/hsa:5595%09red/hsa:5594%09red/hsa:8660%09red/hsa:5290%09red/hsa:673%09red/hsa:5295%09red/hsa:5599%09red/hsa:208%09red/hsa:3099%09red/hsa:3845%09red/hsa:207%09red/hsa:2932%09red/hsa:23265%09red/hsa:5562%09red/hsa:2194%09red/hsa:3265%09red/hsa:2475%09red/hsa:2203%09red/hsa:9021%09red/hsa:6720%09red
Extracellular matrix organization	Reactome	R-HSA-1474244	47	290	7.69987657068e-22	1.56182631521e-20	4320|4323|7042|5155|4327|3678|3685|6382|5054|3673|3675|977|2202|4314|7077|3694|655|652|650|2247|50848|4312|4313|634|4317|4318|999|4921|3918|6868|7040|59277|102|780|5045|2335|3688|960|4052|4680|5578|4017|4015|1514|826|6696|682	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Signaling by FGFR4	Reactome	R-HSA-5654743	49	320	8.97979180621e-22	1.79715566682e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|10253|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654743
@@Signaling by FGFR4 in disease	Reactome	R-HSA-5655291	4	10	0.000298364351968	0.000848191083909	3845|5295|3265|5290	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655291
Neurotrophin signaling pathway	KEGG PATHWAY	hsa04722	33	120	9.66246859687e-22	1.90833754788e-20	8503|4915|627|596|5295|5290|2309|7157|5781|1399|1398|3667|207|208|2932|998|673|3265|387|3725|4790|4792|5595|5879|1432|5594|5599|5598|7161|6464|4916|3845|5970	http://www.genome.jp/kegg-bin/show_pathway?hsa04722/hsa:3667%09red/hsa:8503%09red/hsa:596%09red/hsa:3725%09red/hsa:5595%09red/hsa:627%09red/hsa:5781%09red/hsa:1399%09red/hsa:1398%09red/hsa:7161%09red/hsa:6464%09red/hsa:387%09red/hsa:4915%09red/hsa:4916%09red/hsa:5594%09red/hsa:5290%09red/hsa:673%09red/hsa:998%09red/hsa:4792%09red/hsa:5295%09red/hsa:5599%09red/hsa:5598%09red/hsa:4790%09red/hsa:208%09red/hsa:5879%09red/hsa:3845%09red/hsa:207%09red/hsa:1432%09red/hsa:2932%09red/hsa:7157%09red/hsa:3265%09red/hsa:2309%09red/hsa:5970%09red
Signaling by FGFR3	Reactome	R-HSA-5654741	49	321	1.01121090193e-21	1.95172958191e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|10253|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654741
@@Signaling by FGFR3 in disease	Reactome	R-HSA-5655332	7	18	1.73355392925e-06	6.79390195247e-06	2254|5295|5290|3265|3845|2246|2247	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655332
Adaptive Immune System	Reactome	R-HSA-1280218	76	787	1.01422323377e-21	1.95172958191e-20	5159|23327|8503|3309|5155|2475|5290|5777|5058|10859|5970|3164|5133|7428|2309|5728|6478|8945|4067|55294|929|5588|718|6477|6786|7249|7099|83737|4591|27161|5781|10197|2254|7534|2246|2247|4790|8517|3667|5295|207|29126|208|64750|2932|4193|4615|998|999|9902|6885|3265|8452|1385|3688|9021|4792|100507436|868|1026|5595|5594|948|81559|6502|6500|3685|8660|9965|1956|3845|1514|5879|2064|9690|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Endometrial cancer	KEGG PATHWAY	hsa05213	25	52	1.49729235214e-21	2.84485546906e-20	3611|8503|595|5295|5290|2309|51176|5728|7157|207|208|2932|673|999|1956|3265|1950|8312|4609|1499|5595|5594|2002|3845|2064	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:8503%09red/hsa:595%09red/hsa:8312%09red/hsa:2002%09red/hsa:5728%09red/hsa:2064%09red/hsa:1950%09red/hsa:1956%09red/hsa:5595%09red/hsa:5594%09red/hsa:5290%09red/hsa:673%09red/hsa:999%09red/hsa:5295%09red/hsa:3611%09red/hsa:208%09red/hsa:3845%09red/hsa:207%09red/hsa:2932%09red/hsa:7157%09red/hsa:51176%09red/hsa:3265%09red/hsa:1499%09red/hsa:4609%09red/hsa:2309%09red
TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	29	84	1.52724390658e-21	2.86549137973e-20	4087|4088|4089|387|7124|6667|654|655|652|650|2033|4092|9372|64750|7046|7040|4609|6093|7048|10468|4052|4838|5595|5594|3397|6500|7042|1387|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:650%09red/hsa:9372%09red/hsa:5595%09red/hsa:4838%09red/hsa:6667%09red/hsa:7124%09red/hsa:6500%09red/hsa:4088%09red/hsa:4089%09red/hsa:4087%09red/hsa:10468%09red/hsa:387%09red/hsa:3397%09red/hsa:652%09red/hsa:5594%09red/hsa:654%09red/hsa:655%09red/hsa:6198%09red/hsa:6093%09red/hsa:64750%09red/hsa:4052%09red/hsa:2033%09red/hsa:1387%09red/hsa:7046%09red/hsa:4092%09red/hsa:7042%09red/hsa:7040%09red/hsa:4609%09red/hsa:7048%09red
@@TGF-beta signaling pathway	PANTHER	P00052	29	91	9.53186895158e-21	1.47498302024e-19	6497|4087|4088|4089|6498|3725|2033|654|655|2662|650|652|4092|9372|64750|8061|7046|3265|7042|5595|3726|7048|4838|1432|5594|5599|6885|1387|9518	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00052
Signaling by FGFR1	Reactome	R-HSA-5654736	49	325	1.61944521678e-21	3.00097193875e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|10253|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654736
@@Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	13	32	3.90753719523e-11	2.36500537502e-10	2254|6774|6776|6777|9208|6772|3265|5290|3845|2246|2247|5295|2260	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
Longevity regulating pathway	KEGG PATHWAY	hsa04211	30	94	1.9800955438e-21	3.62454074542e-20	8503|5295|2475|5290|7249|7248|2309|6648|7157|10891|3479|5562|5563|3480|10919|3667|207|208|23411|1385|5468|4790|6794|1977|8660|3845|9370|3265|5970|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:3667%09red/hsa:8503%09red/hsa:9370%09red/hsa:3480%09red/hsa:7157%09red/hsa:6648%09red/hsa:6198%09red/hsa:3479%09red/hsa:7249%09red/hsa:7248%09red/hsa:1977%09red/hsa:10891%09red/hsa:8660%09red/hsa:5290%09red/hsa:5295%09red/hsa:4790%09red/hsa:10919%09red/hsa:208%09red/hsa:5970%09red/hsa:3845%09red/hsa:207%09red/hsa:1385%09red/hsa:23411%09red/hsa:6794%09red/hsa:5562%09red/hsa:5563%09red/hsa:3265%09red/hsa:2475%09red/hsa:5468%09red/hsa:2309%09red
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	31	104	2.27523220334e-21	4.11460667134e-20	8503|4087|4088|5295|5290|3725|5054|4615|6347|6348|3576|7099|8517|207|718|208|7046|7040|7042|6352|7124|4790|7048|4792|5595|1432|5594|5599|3569|355|5970	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3569%09red/hsa:8503%09red/hsa:3725%09red/hsa:8517%09red/hsa:355%09red/hsa:7124%09red/hsa:7099%09red/hsa:6347%09red/hsa:4088%09red/hsa:4087%09red/hsa:5054%09red/hsa:6348%09red/hsa:5595%09red/hsa:5594%09red/hsa:4615%09red/hsa:5290%09red/hsa:4792%09red/hsa:3576%09red/hsa:5599%09red/hsa:5295%09red/hsa:4790%09red/hsa:718%09red/hsa:208%09red/hsa:5970%09red/hsa:207%09red/hsa:1432%09red/hsa:7046%09red/hsa:7042%09red/hsa:6352%09red/hsa:7040%09red/hsa:7048%09red
EGF receptor signaling pathway	PANTHER	P00018	32	114	2.37249488045e-21	4.23942239947e-20	5037|5290|7039|10253|10252|5584|5588|5921|9462|7534|7532|207|208|673|1956|3265|1950|153090|157310|5595|868|1432|5594|5578|5599|6776|6777|6464|6772|6774|5879|2064	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00018
Measles	KEGG PATHWAY	hsa05162	34	136	3.07709256053e-21	5.43378345101e-20	8503|6777|595|7161|8743|3718|5290|4615|3717|7157|1965|5588|7099|29110|1460|5295|894|207|208|2932|9451|6885|10399|4790|4792|868|27113|3565|6774|6776|3569|6772|355|5970	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:29110%09red/hsa:3569%09red/hsa:8503%09red/hsa:595%09red/hsa:5588%09red/hsa:3565%09red/hsa:27113%09red/hsa:355%09red/hsa:1460%09red/hsa:868%09red/hsa:7099%09red/hsa:7161%09red/hsa:4615%09red/hsa:8743%09red/hsa:10399%09red/hsa:894%09red/hsa:3718%09red/hsa:6885%09red/hsa:5290%09red/hsa:3717%09red/hsa:9451%09red/hsa:4792%09red/hsa:5295%09red/hsa:4790%09red/hsa:208%09red/hsa:5970%09red/hsa:207%09red/hsa:6776%09red/hsa:6777%09red/hsa:6774%09red/hsa:6772%09red/hsa:2932%09red/hsa:7157%09red/hsa:1965%09red
Downstream signaling of activated FGFR4	Reactome	R-HSA-5654716	48	317	3.56977281681e-21	6.08889658868e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654716
Downstream signaling of activated FGFR2	Reactome	R-HSA-5654696	48	317	3.56977281681e-21	6.08889658868e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654696
Downstream signaling of activated FGFR3	Reactome	R-HSA-5654708	48	317	3.56977281681e-21	6.08889658868e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654708
DAP12 signaling	Reactome	R-HSA-2424491	49	333	4.07467435082e-21	6.87200696695e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5879|3164|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|5747|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2424491
Signaling by FGFR2	Reactome	R-HSA-5654738	50	349	4.50051852749e-21	7.50586478863e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|10253|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|54845|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654738
@@Signaling by FGFR2 in disease	Reactome	R-HSA-5655253	8	39	1.74282778376e-05	5.97451255657e-05	2254|5295|5290|3845|3265|2263|2246|2247	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655253
IRS-mediated signalling	Reactome	R-HSA-112399	45	276	4.66299016407e-21	7.69137168821e-20	5159|152559|3717|5037|5295|5155|3718|5290|5562|5747|7248|1981|7249|5563|5781|54756|9462|2246|2247|5921|3667|207|1437|208|673|1956|3265|8452|153090|2335|10197|6794|5595|5594|2475|1977|6198|6464|8660|9965|3845|408|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112399
Downstream signaling of activated FGFR1	Reactome	R-HSA-5654687	48	320	5.06863652673e-21	8.26959068111e-20	5159|152559|8503|5037|5295|5155|3718|5290|3717|5747|3164|2309|5728|7249|27161|5921|54756|9462|2246|2247|5781|3667|207|1437|208|2932|4193|673|1956|3265|8452|153090|2335|10197|1026|5595|5594|2475|5578|6464|8660|9965|3845|408|1385|2254|2064|1950	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654687
