Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
WWOX	ZNF143	330	55	0	4	>3	<0.001	1.000	Co-occurrence
G3BP1	SIN3A	359	12	13	5	2.443	<0.001	1.000	Co-occurrence
STAT1	TP73	359	13	12	5	2.443	<0.001	1.000	Co-occurrence
PBXIP1	UBE3C	366	7	12	4	2.858	<0.001	1.000	Co-occurrence
IGSF8	TRIM33	366	7	12	4	2.858	<0.001	1.000	Co-occurrence
JAG1	TRIM62	362	19	4	4	2.947	<0.001	1.000	Co-occurrence
ATM	QKI	325	52	5	7	2.169	<0.001	1.000	Co-occurrence
STAT1	MAPK7	365	14	6	4	2.855	<0.001	1.000	Co-occurrence
NAMPT	MAPK7	379	0	8	2	>3	<0.001	1.000	Co-occurrence
NOTCH4	JAG1	351	15	17	6	2.111	<0.001	1.000	Co-occurrence
G3BP1	GLS	370	14	2	3	>3	<0.001	1.000	Co-occurrence
ITGB4	SCIN	356	20	8	5	2.409	<0.001	1.000	Co-occurrence
G3BP1	IGSF8	365	13	7	4	2.775	<0.001	1.000	Co-occurrence
PKP3	SHH	373	9	4	3	>3	<0.001	1.000	Co-occurrence
BIRC2	QKI	373	4	9	3	>3	<0.001	1.000	Co-occurrence
TRIM33	PKP3	365	12	8	4	2.722	<0.001	1.000	Co-occurrence
ACTN4	ETV1	365	11	9	4	2.691	<0.001	1.000	Co-occurrence
ITGB4	UBR5	336	17	28	8	1.731	<0.001	1.000	Co-occurrence
WWOX	SON	322	51	8	8	1.843	<0.001	1.000	Co-occurrence
HDAC6	NRP2	365	10	10	4	2.681	<0.001	1.000	Co-occurrence
STAT1	PBXIP1	364	14	7	4	2.698	<0.001	1.000	Co-occurrence
NAMPT	QKI	377	0	10	2	>3	<0.001	1.000	Co-occurrence
WWOX	UBR5	307	46	23	13	1.328	<0.001	1.000	Co-occurrence
FSCN2	BIRC2	372	10	4	3	>3	<0.001	1.000	Co-occurrence
ITGA3	GRN	364	13	8	4	2.639	0.001	1.000	Co-occurrence
TP73	GRN	364	13	8	4	2.639	0.001	1.000	Co-occurrence
ITGA3	PKP3	364	13	8	4	2.639	0.001	1.000	Co-occurrence
G3BP1	QKI	364	13	8	4	2.639	0.001	1.000	Co-occurrence
G3BP1	PIK3CA	259	5	113	12	1.705	0.001	1.000	Co-occurrence
USP9X	TRIM33	346	27	10	6	2.040	0.001	1.000	Co-occurrence
NAMPT	ETV1	376	0	11	2	>3	0.001	1.000	Co-occurrence
IGSF8	KMT2A	350	6	28	5	2.343	0.001	1.000	Co-occurrence
UBE3C	GAPDH	370	13	3	3	>3	0.001	1.000	Co-occurrence
FSCN2	ATM	324	6	52	7	1.984	0.001	1.000	Co-occurrence
SCIN	WWOX	324	6	52	7	1.984	0.001	1.000	Co-occurrence
BIRC2	WWOX	328	2	54	5	2.720	0.001	1.000	Co-occurrence
ATM	BIRC2	328	54	2	5	2.720	0.001	1.000	Co-occurrence
TRIM62	QKI	372	5	9	3	>3	0.001	1.000	Co-occurrence
ART1	HDAC6	371	4	11	3	>3	0.001	1.000	Co-occurrence
ART1	NRP2	371	4	11	3	>3	0.001	1.000	Co-occurrence
ART1	KMT2A	353	3	29	4	2.787	0.001	1.000	Co-occurrence
STAT1	GRN	363	14	8	4	2.562	0.001	1.000	Co-occurrence
STAT1	QKI	363	14	8	4	2.562	0.001	1.000	Co-occurrence
SIN3A	QKI	363	14	8	4	2.562	0.001	1.000	Co-occurrence
JAG1	UBE3C	355	18	11	5	2.193	0.001	1.000	Co-occurrence
USP9X	UBR5	329	24	27	9	1.519	0.001	1.000	Co-occurrence
ITGB4	PRKCA	354	20	10	5	2.180	0.001	1.000	Co-occurrence
G3BP1	ATM	321	9	51	8	1.722	0.001	1.000	Co-occurrence
USP9X	TP73	345	27	11	6	1.942	0.001	1.000	Co-occurrence
KMT2A	TP73	345	27	11	6	1.942	0.001	1.000	Co-occurrence
SCIN	NUMB	371	10	5	3	>3	0.001	1.000	Co-occurrence
PAK4	HDAC6	363	12	10	4	2.493	0.002	1.000	Co-occurrence
STAT1	NOTCH4	355	13	16	5	2.144	0.002	1.000	Co-occurrence
JAG1	KMT2A	340	16	26	7	1.744	0.002	1.000	Co-occurrence
STAT1	AQP3	368	15	3	3	>3	0.002	1.000	Co-occurrence
MAPK7	JAG1	360	6	19	4	2.536	0.002	1.000	Co-occurrence
CUX1	TCF3	362	15	8	4	2.490	0.002	1.000	Co-occurrence
IGSF8	UBR5	347	6	31	5	2.233	0.002	1.000	Co-occurrence
NAMPT	UBE3C	373	0	14	2	>3	0.002	1.000	Co-occurrence
SON	UBR5	343	10	30	6	1.926	0.002	1.000	Co-occurrence
AGTR1	QKI	371	6	9	3	>3	0.002	1.000	Co-occurrence
G3BP1	JAG1	354	12	18	5	2.103	0.002	1.000	Co-occurrence
STAT1	FSCN2	362	14	9	4	2.442	0.002	1.000	Co-occurrence
NAMPT	FSHR	372	0	15	2	>3	0.002	1.000	Co-occurrence
PAK4	ART1	369	13	4	3	>3	0.002	1.000	Co-occurrence
ART1	UBE3C	369	4	13	3	>3	0.002	1.000	Co-occurrence
HDAC6	ATM	323	7	52	7	1.826	0.002	1.000	Co-occurrence
WWOX	CARD10	323	52	7	7	1.826	0.002	1.000	Co-occurrence
G3BP1	NRP2	362	13	10	4	2.410	0.002	1.000	Co-occurrence
STAT1	NAMPT	371	16	0	2	>3	0.002	1.000	Co-occurrence
SIN3A	NAMPT	371	16	0	2	>3	0.002	1.000	Co-occurrence
STAT1	USP9X	344	12	27	6	1.852	0.002	1.000	Co-occurrence
STAT1	KMT2A	344	12	27	6	1.852	0.002	1.000	Co-occurrence
CAPNS1	USP9X	355	1	30	3	>3	0.002	1.000	Co-occurrence
CAPNS1	KMT2A	355	1	30	3	>3	0.002	1.000	Co-occurrence
EED	KMT2A	355	1	30	3	>3	0.002	1.000	Co-occurrence
ATM	GLS	329	55	1	4	>3	0.002	1.000	Co-occurrence
PBXIP1	PTPA	377	9	1	2	>3	0.002	1.000	Co-occurrence
IGSF8	CREB1	377	9	1	2	>3	0.002	1.000	Co-occurrence
EED	NUMB	379	2	6	2	>3	0.002	1.000	Co-occurrence
EED	TRIM62	379	2	6	2	>3	0.002	1.000	Co-occurrence
G3BP1	BIRC2	368	14	4	3	2.981	0.002	1.000	Co-occurrence
G3BP1	HAVCR2	368	14	4	3	2.981	0.002	1.000	Co-occurrence
TP73	SNW1	368	14	4	3	2.981	0.002	1.000	Co-occurrence
STAT1	JAG1	353	13	18	5	2.021	0.002	1.000	Co-occurrence
KMT2A	TRIM62	352	29	4	4	2.496	0.002	1.000	Co-occurrence
PBXIP1	WWOX	325	5	53	6	1.996	0.002	1.000	Co-occurrence
MAPK7	PKP3	370	7	9	3	2.869	0.002	1.000	Co-occurrence
MAPK7	QKI	370	7	9	3	2.869	0.002	1.000	Co-occurrence
PAK4	PIK3CA	259	5	114	11	1.609	0.002	1.000	Co-occurrence
FSHR	UBR5	342	11	30	6	1.827	0.002	1.000	Co-occurrence
FBXW7	ETV1	316	60	6	7	1.816	0.002	1.000	Co-occurrence
PBXIP1	IGSF8	370	8	8	3	2.853	0.002	1.000	Co-occurrence
PIK3CA	QKI	261	116	3	9	1.910	0.003	1.000	Co-occurrence
USP9X	SCIN	348	28	8	5	2.050	0.003	1.000	Co-occurrence
USP9X	ETV1	348	28	8	5	2.050	0.003	1.000	Co-occurrence
KMT2A	ETV1	348	28	8	5	2.050	0.003	1.000	Co-occurrence
PTPA	GRN	376	1	10	2	>3	0.003	1.000	Co-occurrence
PTPA	QKI	376	1	10	2	>3	0.003	1.000	Co-occurrence
PAK4	TRIM33	361	12	12	4	2.305	0.003	1.000	Co-occurrence
ITGB4	ITGA3	352	20	12	5	1.992	0.003	1.000	Co-occurrence
EPS8	GLS	379	5	3	2	>3	0.003	1.000	Co-occurrence
EED	UBR5	352	1	33	3	>3	0.003	1.000	Co-occurrence
UBE3C	NUMB	368	13	5	3	2.832	0.003	1.000	Co-occurrence
CUX1	CARD10	360	15	10	4	2.262	0.003	1.000	Co-occurrence
PBXIP1	QKI	369	8	9	3	2.733	0.003	1.000	Co-occurrence
G3BP1	UBE3C	360	13	12	4	2.223	0.003	1.000	Co-occurrence
ITGA3	UBE3C	360	13	12	4	2.223	0.003	1.000	Co-occurrence
UBE3C	FSHR	360	12	13	4	2.223	0.003	1.000	Co-occurrence
TRIM33	FSHR	360	12	13	4	2.223	0.003	1.000	Co-occurrence
NUMB	UBR5	349	4	32	4	2.389	0.003	1.000	Co-occurrence
UBR5	TRIM62	349	32	4	4	2.389	0.003	1.000	Co-occurrence
NAMPT	JAG1	366	0	21	2	>3	0.003	1.000	Co-occurrence
JAG1	QKI	358	19	8	4	2.243	0.003	1.000	Co-occurrence
SIN3A	UBR5	341	12	30	6	1.738	0.003	1.000	Co-occurrence
ATM	JAG1	316	50	14	9	1.402	0.003	1.000	Co-occurrence
NUMB	FSHR	367	5	14	3	2.755	0.003	1.000	Co-occurrence
G3BP1	TRIM62	367	14	5	3	2.755	0.003	1.000	Co-occurrence
FSHR	TRIM62	367	14	5	3	2.755	0.003	1.000	Co-occurrence
CUX1	WWOX	319	11	51	8	1.515	0.003	1.000	Co-occurrence
NRP2	CREB1	374	12	1	2	>3	0.004	1.000	Co-occurrence
FBXW7	MMD	321	63	1	4	>3	0.004	1.000	Co-occurrence
KMT2A	CARD10	347	28	9	5	1.929	0.004	1.000	Co-occurrence
KMT2A	AGTR1	351	29	5	4	2.270	0.004	1.000	Co-occurrence
ART1	GAPDH	378	5	4	2	>3	0.004	1.000	Co-occurrence
ART1	MDM4	378	5	4	2	>3	0.004	1.000	Co-occurrence
SCIN	IGSF8	368	10	8	3	2.625	0.004	1.000	Co-occurrence
FSCN2	KLF8	368	10	8	3	2.625	0.004	1.000	Co-occurrence
PBXIP1	FSCN2	368	8	10	3	2.625	0.004	1.000	Co-occurrence
IGSF8	ETV1	368	8	10	3	2.625	0.004	1.000	Co-occurrence
NOTCH4	ART1	364	18	4	3	2.719	0.004	1.000	Co-occurrence
PAK4	SIN3A	359	12	14	4	2.146	0.004	1.000	Co-occurrence
ATM	GRN	324	53	6	6	1.810	0.004	1.000	Co-occurrence
ATM	PKP3	324	53	6	6	1.810	0.004	1.000	Co-occurrence
WWOX	TCF3	324	53	6	6	1.810	0.004	1.000	Co-occurrence
PKP3	TCF3	368	9	9	3	2.612	0.004	1.000	Co-occurrence
NOTCH4	NRP2	358	17	10	4	2.131	0.004	1.000	Co-occurrence
FBXW7	ATM	281	49	41	18	0.923	0.005	1.000	Co-occurrence
CUX1	ITGB4	350	14	20	5	1.833	0.005	1.000	Co-occurrence
PTPA	UBE3C	372	1	14	2	>3	0.005	1.000	Co-occurrence
ITGB4	PKP3	356	21	8	4	2.137	0.005	1.000	Co-occurrence
ITGB4	TCF3	356	21	8	4	2.137	0.005	1.000	Co-occurrence
CUX1	NUMB	365	16	5	3	2.616	0.005	1.000	Co-occurrence
PAK4	ATM	321	9	52	7	1.569	0.005	1.000	Co-occurrence
UBE3C	WWOX	321	9	52	7	1.569	0.005	1.000	Co-occurrence
TRIM33	WWOX	321	9	52	7	1.569	0.005	1.000	Co-occurrence
ATM	UBE3C	321	52	9	7	1.569	0.005	1.000	Co-occurrence
ATM	TRIM33	321	52	9	7	1.569	0.005	1.000	Co-occurrence
ATM	SON	321	52	9	7	1.569	0.005	1.000	Co-occurrence
EED	GRN	375	2	10	2	>3	0.005	1.000	Co-occurrence
EED	PKP3	375	2	10	2	>3	0.005	1.000	Co-occurrence
CAPNS1	QKI	375	2	10	2	>3	0.005	1.000	Co-occurrence
EED	QKI	375	2	10	2	>3	0.005	1.000	Co-occurrence
HDAC6	KLF8	367	11	8	3	2.527	0.005	1.000	Co-occurrence
STAT1	G3BP1	358	14	13	4	2.063	0.005	1.000	Co-occurrence
GRN	ETV1	367	9	10	3	2.504	0.005	1.000	Co-occurrence
FSCN2	PKP3	367	10	9	3	2.504	0.005	1.000	Co-occurrence
ETV1	QKI	367	10	9	3	2.504	0.005	1.000	Co-occurrence
JAG1	BIRC2	362	20	4	3	2.608	0.005	1.000	Co-occurrence
CARD10	UBR5	344	9	31	5	1.819	0.006	1.000	Co-occurrence
EPS8	BIRC2	377	5	5	2	>3	0.006	1.000	Co-occurrence
BIRC2	HAVCR2	377	5	5	2	>3	0.006	1.000	Co-occurrence
SOX3	SHH	377	5	5	2	>3	0.006	1.000	Co-occurrence
MAPK7	UBE3C	366	7	13	3	2.490	0.006	1.000	Co-occurrence
MAPK7	SON	366	7	13	3	2.490	0.006	1.000	Co-occurrence
SIN3A	AGTR1	365	15	6	3	2.499	0.006	1.000	Co-occurrence
PTPA	SIN3A	370	1	16	2	>3	0.006	1.000	Co-occurrence
ETV1	PIK3CA	260	4	116	9	1.618	0.006	1.000	Co-occurrence
EED	ETV1	374	2	11	2	>3	0.006	1.000	Co-occurrence
IGSF8	PIK3CA	261	3	117	8	1.783	0.006	1.000	Co-occurrence
NRP2	JAG1	356	10	19	4	2.014	0.006	1.000	Co-occurrence
JAG1	CARD10	356	19	10	4	2.014	0.006	1.000	Co-occurrence
MAPK7	KMT2A	350	6	29	4	2.085	0.006	1.000	Co-occurrence
GLS	UBR5	351	2	33	3	2.770	0.006	1.000	Co-occurrence
FSCN2	SCIN	366	10	10	3	2.396	0.007	1.000	Co-occurrence
G3BP1	MAPK7	365	14	7	3	2.414	0.007	1.000	Co-occurrence
MAPK7	FSHR	365	7	14	3	2.414	0.007	1.000	Co-occurrence
SCIN	ATM	323	7	53	6	1.653	0.007	1.000	Co-occurrence
EED	CARD10	373	2	12	2	>3	0.007	1.000	Co-occurrence
ATM	TP73	320	52	10	7	1.460	0.007	1.000	Co-occurrence
WWOX	TP73	320	52	10	7	1.460	0.007	1.000	Co-occurrence
ART1	NUMB	376	5	6	2	>3	0.007	1.000	Co-occurrence
NUMB	SHH	376	6	5	2	>3	0.007	1.000	Co-occurrence
ELSPBP1	PTPA	386	0	2	1	>3	0.008	1.000	Co-occurrence
IGSF8	UBE3C	365	8	13	3	2.354	0.008	1.000	Co-occurrence
IGSF8	SON	365	8	13	3	2.354	0.008	1.000	Co-occurrence
STAT1	TLE1	364	15	7	3	2.342	0.008	1.000	Co-occurrence
FBXW7	GRN	316	61	6	6	1.645	0.008	1.000	Co-occurrence
FBXW7	PKP3	316	61	6	6	1.645	0.008	1.000	Co-occurrence
MMD	PKP3	374	3	10	2	>3	0.008	1.000	Co-occurrence
GLS	QKI	374	3	10	2	>3	0.008	1.000	Co-occurrence
PRKCA	GRN	365	12	9	3	2.316	0.008	1.000	Co-occurrence
ACTN4	TCF3	365	12	9	3	2.316	0.008	1.000	Co-occurrence
NAMPT	UBR5	353	0	34	2	>3	0.008	1.000	Co-occurrence
SCIN	NRP2	365	10	11	3	2.298	0.009	1.000	Co-occurrence
ETV1	CARD10	365	10	11	3	2.298	0.009	1.000	Co-occurrence
NRP2	ETV1	365	11	10	3	2.298	0.009	1.000	Co-occurrence
ITGB4	CARD10	354	21	10	4	1.908	0.009	1.000	Co-occurrence
MAPK7	UBR5	347	6	32	4	1.978	0.009	1.000	Co-occurrence
EED	UBE3C	371	2	14	2	>3	0.009	1.000	Co-occurrence
IGSF8	FSHR	364	8	14	3	2.277	0.009	1.000	Co-occurrence
TP73	KLF8	364	14	8	3	2.277	0.009	1.000	Co-occurrence
FSHR	KLF8	364	14	8	3	2.277	0.009	1.000	Co-occurrence
FBXW7	HDAC8	320	63	2	4	2.318	0.009	1.000	Co-occurrence
USP9X	IGSF8	349	29	7	4	1.928	0.009	1.000	Co-occurrence
ART1	AGTR1	375	5	7	2	>3	0.009	1.000	Co-occurrence
G3BP1	NOTCH4	355	13	17	4	1.860	0.009	1.000	Co-occurrence
NOTCH4	ITGA3	355	17	13	4	1.860	0.009	1.000	Co-occurrence
G3BP1	USP9X	344	12	28	5	1.633	0.010	1.000	Co-occurrence
PTPA	JAG1	365	1	21	2	>3	0.010	1.000	Co-occurrence
GLS	ETV1	373	3	11	2	>3	0.010	1.000	Co-occurrence
PAK4	GRN	364	13	9	3	2.234	0.010	1.000	Co-occurrence
PAK4	PKP3	364	13	9	3	2.234	0.010	1.000	Co-occurrence
SON	QKI	364	13	9	3	2.234	0.010	1.000	Co-occurrence
G3BP1	EED	370	15	2	2	>3	0.010	1.000	Co-occurrence
EED	ITGA3	370	2	15	2	>3	0.010	1.000	Co-occurrence
G3BP1	ZNF143	370	15	2	2	>3	0.010	1.000	Co-occurrence
PBXIP1	GAPDH	374	9	4	2	>3	0.010	1.000	Co-occurrence
IGSF8	MDM4	374	9	4	2	>3	0.010	1.000	Co-occurrence
AQP3	KLF8	374	4	9	2	>3	0.010	1.000	Co-occurrence
CAPNS1	PIK3CA	264	0	121	4	>3	0.010	1.000	Co-occurrence
PRKCA	FSCN2	364	12	10	3	2.208	0.011	1.000	Co-occurrence
ACTN4	SCIN	364	12	10	3	2.208	0.011	1.000	Co-occurrence
PRKCA	SCIN	364	12	10	3	2.208	0.011	1.000	Co-occurrence
UBE3C	UBR5	342	11	31	5	1.612	0.011	1.000	Co-occurrence
ITGB4	NUMB	359	22	5	3	2.281	0.011	1.000	Co-occurrence
NRP2	ATM	322	8	53	6	1.517	0.011	1.000	Co-occurrence
HDAC6	WWOX	322	8	53	6	1.517	0.011	1.000	Co-occurrence
STAT1	IGSF8	363	15	8	3	2.206	0.011	1.000	Co-occurrence
HDAC6	ARRB1	372	12	3	2	>3	0.011	1.000	Co-occurrence
NRP2	ARRB1	372	12	3	2	>3	0.011	1.000	Co-occurrence
ITGB4	PTPA	363	23	1	2	>3	0.011	1.000	Co-occurrence
TLE1	CXCR2	374	8	5	2	2.929	0.012	1.000	Co-occurrence
ART1	MAPK7	374	5	8	2	2.929	0.012	1.000	Co-occurrence
MAPK7	CRK	374	8	5	2	2.929	0.012	1.000	Co-occurrence
TLE1	BIRC2	374	8	5	2	2.929	0.012	1.000	Co-occurrence
MAPK7	BIRC2	374	8	5	2	2.929	0.012	1.000	Co-occurrence
CXCR2	ATM	327	3	55	4	2.070	0.012	1.000	Co-occurrence
ART1	WWOX	327	3	55	4	2.070	0.012	1.000	Co-occurrence
ATM	SOX3	327	55	3	4	2.070	0.012	1.000	Co-occurrence
WWOX	SOX3	327	55	3	4	2.070	0.012	1.000	Co-occurrence
ATM	SHH	327	55	3	4	2.070	0.012	1.000	Co-occurrence
CAPNS1	WWOX	329	1	56	3	2.869	0.012	1.000	Co-occurrence
ATM	ZNF143	329	56	1	3	2.869	0.012	1.000	Co-occurrence
FSHR	PKP3	363	14	9	3	2.157	0.012	1.000	Co-occurrence
ITGA3	QKI	363	14	9	3	2.157	0.012	1.000	Co-occurrence
FSHR	QKI	363	14	9	3	2.157	0.012	1.000	Co-occurrence
ITGA3	TCF3	363	14	9	3	2.157	0.012	1.000	Co-occurrence
NRP2	PIK3CA	259	5	116	9	1.391	0.012	1.000	Co-occurrence
HDAC8	QKI	373	4	10	2	2.926	0.012	1.000	Co-occurrence
NUMB	AGTR1	374	6	7	2	2.880	0.012	1.000	Co-occurrence
USP9X	SIN3A	343	28	13	5	1.550	0.012	1.000	Co-occurrence
KMT2A	PIK3CA	248	16	108	17	0.892	0.013	1.000	Co-occurrence
PAK4	ETV1	363	13	10	3	2.125	0.013	1.000	Co-occurrence
TRIM33	ETV1	363	13	10	3	2.125	0.013	1.000	Co-occurrence
TLE1	NOTCH4	361	7	18	3	2.151	0.013	1.000	Co-occurrence
CUX1	EED	368	17	2	2	>3	0.013	1.000	Co-occurrence
CAPNS1	CUX1	368	2	17	2	>3	0.013	1.000	Co-occurrence
PRKCA	MMD	371	13	3	2	2.946	0.013	1.000	Co-occurrence
ACTN4	HDAC6	363	12	11	3	2.110	0.013	1.000	Co-occurrence
KMT2A	QKI	348	29	8	4	1.792	0.013	1.000	Co-occurrence
KMT2A	TCF3	348	29	8	4	1.792	0.013	1.000	Co-occurrence
JAG1	ITGA3	353	19	13	4	1.743	0.013	1.000	Co-occurrence
FBXW7	SCIN	315	61	7	6	1.488	0.013	1.000	Co-occurrence
STAT1	PKP3	362	15	9	3	2.085	0.014	1.000	Co-occurrence
SIN3A	PKP3	362	15	9	3	2.085	0.014	1.000	Co-occurrence
PBXIP1	ART1	373	9	5	2	2.808	0.014	1.000	Co-occurrence
PBXIP1	CXCR2	373	9	5	2	2.808	0.014	1.000	Co-occurrence
PBXIP1	BIRC2	373	9	5	2	2.808	0.014	1.000	Co-occurrence
IGSF8	BIRC2	373	9	5	2	2.808	0.014	1.000	Co-occurrence
PBXIP1	HAVCR2	373	9	5	2	2.808	0.014	1.000	Co-occurrence
ITGB4	TRIM33	352	21	12	4	1.720	0.014	1.000	Co-occurrence
GAPDH	ETV1	372	4	11	2	2.828	0.014	1.000	Co-occurrence
MDM4	ETV1	372	4	11	2	2.828	0.014	1.000	Co-occurrence
CUX1	NOTCH4	353	15	17	4	1.711	0.014	1.000	Co-occurrence
UBE3C	GLS	370	14	3	2	2.869	0.015	1.000	Co-occurrence
CUX1	ATM	318	12	52	7	1.272	0.015	1.000	Co-occurrence
G3BP1	FSCN2	362	14	10	3	2.049	0.015	1.000	Co-occurrence
G3BP1	ETV1	362	14	10	3	2.049	0.015	1.000	Co-occurrence
TP73	ETV1	362	14	10	3	2.049	0.015	1.000	Co-occurrence
IGSF8	ATM	324	6	54	5	1.609	0.015	1.000	Co-occurrence
ATM	KLF8	324	54	6	5	1.609	0.015	1.000	Co-occurrence
FBXW7	ITGA3	312	60	10	7	1.292	0.015	1.000	Co-occurrence
PTPA	NAMPT	385	2	1	1	>3	0.015	1.000	Co-occurrence
