##Databases: KEGG DISEASE, OMIM, NHGRI GWAS Catalog
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Other congenital disorders	KEGG DISEASE		48	462	2.94682978901e-15	1.93419191606e-13	6495|81839|595|8626|2719|283120|4838|7039|6925|627|7015|5076|429|5728|9839|4000|7249|7248|182|93986|4591|60529|5781|9421|2263|2260|5295|207|2625|673|3265|8312|4771|1499|6469|2332|59|6299|6658|2316|3209|6657|3845|652|2736|4853|4851|7428	None
Cancers of eye, brain, and central nervous system	KEGG DISEASE		15	27	3.46468489665e-14	2.08458541282e-12	5159|5728|207|5925|7157|4194|4915|5155|4193|4916|1956|51684|1009|4771|9314	None
Gastric cancer	KEGG DISEASE	H00018	13	20	4.03008869563e-13	2.23824926019e-11	7039|960|596|7157|4233|999|1956|3845|7422|1499|2263|2064|1950	http://www.genome.jp/dbget-bin/www_bget?H00018
@@Gastric cancer	NHGRI GWAS Catalog		3	12	0.00540201185128	0.0239279297952	472|5562|4582	None
Immune system diseases	KEGG DISEASE		32	243	4.42068141531e-13	2.27980855847e-11	1789|3569|1235|114548|3718|7852|9051|5133|4283|2056|4615|718|6786|83737|1401|1234|8517|2625|7040|7042|7124|4792|6352|100507436|3565|6774|6777|6772|472|929|9966|729230	None
Head and neck cancers	KEGG DISEASE		13	23	1.51760106182e-12	7.30471977758e-11	595|596|7157|2064|999|4916|3091|1956|3845|4609|11186|4602|6774	None
Type 2 diabetes	NHGRI GWAS Catalog		27	183	2.79925125958e-12	1.26316213088e-10	604|8549|10253|5728|4920|8091|3694|2152|2115|26018|688|3667|3952|302|5460|5468|6480|3172|7049|23314|94241|5629|7088|7422|4853|51741|430	None
@@Diabetes	KEGG DISEASE		7	63	0.00165900806432	0.00965970824549	6648|2056|9451|5588|5468|3172|4853	None
@@Type 1 diabetes	NHGRI GWAS Catalog		5	69	0.0356560252253	0.0906466556784	246778|5443|55384|5781|5588	None
Body mass index	NHGRI GWAS Catalog		36	341	5.76026323259e-12	2.44641767878e-10	2475|627|596|4633|6387|23405|238|406940|2309|6660|7284|7099|6249|93986|650|9462|7534|2247|2114|55727|146713|51684|8312|1385|5468|9863|5122|5443|4915|84148|3092|7422|5915|65975|6050|9690	None
Cardiovascular diseases	KEGG DISEASE		32	284	1.86478283891e-11	7.47985116498e-10	3717|4088|4089|4633|6901|5054|7015|2821|857|4000|2303|7056|7249|7248|182|2034|5921|2623|2627|718|7046|7042|7048|59|861|4878|2147|7157|4854|4853|4851|7428	None
Penile cancer	KEGG DISEASE	H00025	9	11	4.16517664224e-10	1.58276712405e-08	4313|7157|999|4193|4318|5743|3265|4609|648	http://www.genome.jp/dbget-bin/www_bget?H00025
Allergies and autoimmune diseases	KEGG DISEASE		17	85	5.17598489608e-10	1.86853054748e-08	1234|4283|3569|6352|2625|114548|1235|3565|7042|83737|7040|929|7124|5133|1401|2056|729230	None
Hepatocellular carcinoma	KEGG DISEASE	H00048	9	12	7.12957844193e-10	2.45121696908e-08	5728|7157|7161|999|5925|3845|3265|8312|1499	http://www.genome.jp/dbget-bin/www_bget?H00048
@@Hepatocellular carcinoma	NHGRI GWAS Catalog		1	10	0.239524842354	0.30573899403	100507436	None
Breast cancer	KEGG DISEASE	H00031	8	9	2.5895930039e-09	8.12907021224e-08	5728|595|7157|999|672|5925|4609|2064	http://www.genome.jp/dbget-bin/www_bget?H00031
@@Breast cancer	NHGRI GWAS Catalog		16	120	2.63189515042e-07	5.42922371029e-06	3783|6478|595|9314|4194|4609|94234|57591|9965|5744|59277|2263|1746|7015|2099|7048	None
@@Breast cancer	OMIM	114480	8	23	6.19062148568e-07	1.03944853783e-05	8493|207|7157|999|5290|472|3845|2099	http://omim.org/entry/114480
Choriocarcinoma	KEGG DISEASE	H00028	8	9	2.5895930039e-09	8.12907021224e-08	4312|4313|596|7157|4193|1956|4609|2064	http://www.genome.jp/dbget-bin/www_bget?H00028
Skin cancers	KEGG DISEASE		9	17	6.7857924006e-09	2.04139254718e-07	6469|5728|7157|673|355|3265|4609|3845|3726	None
Nervous system diseases	KEGG DISEASE		42	589	8.14800848195e-09	2.35314484959e-07	5159|6495|10397|5155|2296|5133|5274|2202|1545|7078|1969|2056|7157|6513|7099|7431|7415|4988|8842|3897|57167|718|2705|2934|2706|1410|6935|367|3315|283|64218|407053|79977|2316|2896|83394|472|4000|6310|2103|3082|51741	None
Vascular diseases	KEGG DISEASE		12	44	9.4185496007e-09	2.61545877373e-07	3717|59|4088|4089|2303|7249|7248|7046|5921|7042|4854|7048	None
Non-small cell lung cancer	KEGG DISEASE	H00014	8	12	1.25669862883e-08	3.36050522228e-07	11186|6098|7157|27436|1956|238|5915|3845	http://www.genome.jp/dbget-bin/www_bget?H00014
Skin diseases	KEGG DISEASE		21	183	3.99836968296e-08	9.95456176241e-07	977|8517|857|6352|9076|1235|4000|208|3872|2706|55612|3918|9420|8626|51684|7421|1499|5468|284119|3897|4792	None
Skin and soft tissue diseases	KEGG DISEASE		21	183	3.99836968296e-08	9.95456176241e-07	977|8517|857|6352|9076|1235|4000|208|3872|2706|55612|3918|9420|8626|51684|7421|1499|5468|284119|3897|4792	None
Cancers of soft tissues and bone	KEGG DISEASE		10	31	4.32702699909e-08	1.04137116445e-06	596|7157|3480|4193|2118|5925|2078|3845|4609|2115	None
Ovarian cancer	KEGG DISEASE	H00027	7	10	8.32955168123e-08	1.93997945608e-06	7157|208|672|3845|5290|4609|2064	http://www.genome.jp/dbget-bin/www_bget?H00027
@@Ovarian cancer	NHGRI GWAS Catalog		1	38	0.621343284177	0.629186327035	4609	None
Height	NHGRI GWAS Catalog		35	484	1.03316708909e-07	2.33108324475e-06	2736|595|7042|9451|10253|2099|5274|2202|79727|4067|4925|3479|57591|8614|654|2688|650|25942|9686|6586|3480|23135|222663|4609|4052|100507436|51232|5578|5443|860|11149|2146|829|7145|8091	None
Glioma	KEGG DISEASE	H00042	7	11	1.33399652958e-07	2.91862271017e-06	5159|5728|7157|5155|4193|5925|1956	http://www.genome.jp/dbget-bin/www_bget?H00042
@@Glioma	NHGRI GWAS Catalog		2	9	0.0286579948684	0.0766336010924	7015|1956	None
Other nervous and sensory system diseases	KEGG DISEASE		33	449	1.68211771893e-07	3.57202645021e-06	5159|6495|5155|2296|5133|2202|1545|7078|1969|2056|7157|6513|7099|7431|4988|8842|3897|57167|718|2934|2706|1410|6935|3315|64218|407053|79977|2316|83394|472|4000|2103|3082	None
Prostate cancer	NHGRI GWAS Catalog		26	307	2.85364420375e-07	5.72314198641e-06	6495|10413|57326|6498|177|7015|8405|2309|5584|100302242|6662|3856|8614|367|574447|4317|4194|51684|4609|9314|10481|196475|6464|688|4855|2100	None
@@Prostate cancer	OMIM	176807	5	12	4.29921644108e-05	0.000456475628009	3092|367|5728|999|3732	http://omim.org/entry/176807
@@Prostate cancer	KEGG DISEASE	H00024	5	13	5.83226964379e-05	0.000601556954688	2118|367|5728|2078|2115	http://www.genome.jp/dbget-bin/www_bget?H00024
Colorectal cancer	NHGRI GWAS Catalog		13	77	3.17219260171e-07	5.9571249292e-06	4092|1026|894|26585|2625|999|998|652|7040|650|4609|1499|26018	None
@@Colorectal cancer	OMIM	114500	8	26	1.33468856863e-06	2.00759405531e-05	595|207|6790|7157|5290|2033|1499|6714	http://omim.org/entry/114500
@@Colorectal cancer	KEGG DISEASE	H00020	6	14	6.27127324439e-06	8.54313072161e-05	4087|7157|4089|3845|1499|7048	http://www.genome.jp/dbget-bin/www_bget?H00020
Cervical cancer	KEGG DISEASE	H00030	6	7	3.21783756564e-07	5.9571249292e-06	1026|596|1956|3265|3845|2064	http://www.genome.jp/dbget-bin/www_bget?H00030
@@Cervical cancer	NHGRI GWAS Catalog		1	8	0.200702688485	0.277069485824	100507436	None
Small cell lung cancer	KEGG DISEASE	H00013	6	7	3.21783756564e-07	5.9571249292e-06	5728|596|7157|5925|4609|5915	http://www.genome.jp/dbget-bin/www_bget?H00013
Psoriasis	NHGRI GWAS Catalog		12	64	3.33466526846e-07	6.01907080956e-06	9314|3565|861|8626|7248|284119|6774|51561|6615|2113|57144|4792	None
Digestive system diseases	KEGG DISEASE		12	66	4.46317238673e-07	7.85953771517e-06	9076|6469|6794|50674|1080|2316|4089|5310|4072|182|9420|4853	None
Oral cancer	KEGG DISEASE	H00016	6	8	5.51361377523e-07	9.47816463265e-06	595|7157|6774|1956|3845|4609	http://www.genome.jp/dbget-bin/www_bget?H00016
Bladder cancer	KEGG DISEASE	H00022	6	9	8.99753048381e-07	1.44360377985e-05	11186|7157|5925|1956|3265|2064	http://www.genome.jp/dbget-bin/www_bget?H00022
@@Bladder cancer	NHGRI GWAS Catalog		4	25	0.00528427143297	0.0238452748413	8626|7015|10460|4609	None
Esophageal cancer	KEGG DISEASE	H00017	6	9	8.99753048381e-07	1.44360377985e-05	595|7157|5743|5925|355|1956	http://www.genome.jp/dbget-bin/www_bget?H00017
@@Esophageal cancer	OMIM	133239	2	7	0.0193768896509	0.0585360432133	51741|7048	http://omim.org/entry/133239
@@Esophageal cancer	NHGRI GWAS Catalog		2	15	0.0643419937087	0.142063973877	861|79718	None
Thyroid cancer	KEGG DISEASE	H00032	7	16	9.22908960279e-07	1.44856580287e-05	7157|999|673|3265|3845|1499|5468	http://www.genome.jp/dbget-bin/www_bget?H00032
Cancers of endocrine organs	KEGG DISEASE		9	35	1.03523009213e-06	1.59028963088e-05	7157|999|673|3845|2034|3265|1499|5468|7428	None
Allergic rhinitis	KEGG DISEASE	H01360	7	19	2.32186188267e-06	3.42119240672e-05	1234|4283|6352|2056|2625|929|729230	http://www.genome.jp/dbget-bin/www_bget?H01360
Cholangiocarcinoma	KEGG DISEASE	H00046	5	6	3.62977394086e-06	5.13862114764e-05	7157|4233|3845|5743|2064	http://www.genome.jp/dbget-bin/www_bget?H00046
Endometrial cancer	KEGG DISEASE	H00026	5	6	3.62977394086e-06	5.13862114764e-05	7157|1499|5728|2064|3845	http://www.genome.jp/dbget-bin/www_bget?H00026
@@Endometrial cancer	NHGRI GWAS Catalog		1	7	0.180555377503	0.260201561991	8038	None
Pancreatic cancer	KEGG DISEASE	H00019	5	7	6.09606566472e-06	8.46415271141e-05	7157|4089|6794|2064|3845	http://www.genome.jp/dbget-bin/www_bget?H00019
@@Pancreatic cancer	NHGRI GWAS Catalog		10	107	0.00064279140278	0.00448528571565	1045|4919|407024|8626|94234|2494|7494|688|4609|7015	None
Mycosis fungoides	KEGG DISEASE	H01463	5	8	9.70499185733e-06	0.000127400074927	7157|355|3726|5728|4609	http://www.genome.jp/dbget-bin/www_bget?H01463
Malignant pleural mesothelioma	KEGG DISEASE	H00015	5	8	9.70499185733e-06	0.000127400074927	7157|3480|5155|3479|4771	http://www.genome.jp/dbget-bin/www_bget?H00015
Lung cancer	OMIM	211980	6	16	1.15748822279e-05	0.000149233303009	11186|5290|673|1956|3845|2064	http://omim.org/entry/211980
@@Lung cancer	NHGRI GWAS Catalog		4	25	0.00528427143297	0.0238452748413	6098|1401|7015|8626	None
Hepatoblastoma, somatic	OMIM	114550	5	9	1.47903421239e-05	0.000187344333569	7157|1499|4233|5290|8312	http://omim.org/entry/114550
Craniosynostosis	KEGG DISEASE	H00458	5	10	2.17356366616e-05	0.000265985248639	2263|2260|4488|3845|7291	http://www.genome.jp/dbget-bin/www_bget?H00458
Depressive symptoms (SSRI exposure interaction)	NHGRI GWAS Catalog		5	10	2.17356366616e-05	0.000265985248639	64400|55742|2492|4488|6097	None
Bone mineral density	NHGRI GWAS Catalog		11	85	2.46575057421e-05	0.000296711985763	55366|6299|6659|6662|7049|8600|182|8312|1499|8792|2099	None
Thiazide-induced adverse metabolic effects in hypertensive patients	NHGRI GWAS Catalog		9	55	2.59260092943e-05	0.000306861946073	960|10891|3479|4015|8038|27161|153090|9420|408	None
Meningioma	KEGG DISEASE	H01556	5	11	3.09747593815e-05	0.000360706068927	5728|9314|51684|207|4771	http://www.genome.jp/dbget-bin/www_bget?H01556
@@Meningioma	OMIM	607174	4	6	6.77149423027e-05	0.000660678220845	5728|5155|51684|4771	http://omim.org/entry/607174
Reproductive system disease	KEGG DISEASE		9	57	3.3351512254e-05	0.000376246747616	2332|4920|8091|1080|6662|6658|3209|2492|367	None
Reproductive system diseases	KEGG DISEASE		9	57	3.3351512254e-05	0.000376246747616	2332|4920|8091|1080|6662|6658|3209|2492|367	None
Kaposi's sarcoma	KEGG DISEASE	H00041	4	5	4.14373472825e-05	0.000450984614012	7157|596|3845|4609	http://www.genome.jp/dbget-bin/www_bget?H00041
Fallopian tube cancer	KEGG DISEASE	H01554	4	5	4.14373472825e-05	0.000450984614012	7157|2064|672|4609	http://www.genome.jp/dbget-bin/www_bget?H01554
Endocrine and metabolic diseases	KEGG DISEASE		14	145	4.18503727684e-05	0.000450984614012	6648|6658|3480|2056|3479|5588|9451|2688|54756|5626|5468|2260|3172|4853	None
Ulcerative colitis	NHGRI GWAS Catalog		16	187	4.7445287417e-05	0.000496456485725	1234|3717|780|3394|4790|196|999|9966|50616|729230|3579|4855|3172|2064|23314|6364	None
Crohn's disease	NHGRI GWAS Catalog		19	256	5.92800361742e-05	0.000602819522785	1235|3717|6347|6774|8600|93986|5743|4855|9966|3965|2033|4088|5321|246778|2101|4582|5133|7124|6364	None
@@Crohn's disease	KEGG DISEASE	H00286	1	9	0.220355128947	0.294622968703	9966	http://www.genome.jp/dbget-bin/www_bget?H00286
Retinoblastoma	KEGG DISEASE	H01513	4	6	6.77149423027e-05	0.000660678220845	5925|4194|4193|1009	http://www.genome.jp/dbget-bin/www_bget?H01513
Ovarian cancer, somatic	OMIM	167000	4	6	6.77149423027e-05	0.000660678220845	1499|999|207|5290	http://omim.org/entry/167000
Age-related macular degeneration	NHGRI GWAS Catalog		9	64	7.5060915113e-05	0.000722586409488	2736|780|718|3490|7046|7422|7078|4855|10631	None
Gastrointestinal diseases	KEGG DISEASE		5	14	7.75510627822e-05	0.000736735096431	2316|4089|6794|50674|4072	None
HDL cholesterol	NHGRI GWAS Catalog		13	136	8.54929676221e-05	0.000801635358742	10062|4633|3667|3172|207|948|2932|3918|133|7422|7227|3068|51129	None
Dental caries	NHGRI GWAS Catalog		9	66	9.29565254175e-05	0.000855456526994	4092|55966|3206|9429|7046|652|8842|5101|6696	None
C-reactive protein levels	NHGRI GWAS Catalog		6	25	9.45673573896e-05	0.000855456526994	6299|114548|8600|429|1401|3172	None
Pulmonary function (interaction)	NHGRI GWAS Catalog		8	51	9.47874268137e-05	0.000855456526994	604|6659|6662|7145|5915|177|51741|9759	None
Noonan syndrome	KEGG DISEASE	H00523	5	15	0.000101310992628	0.000896784497664	3845|4771|3265|5781|673	http://www.genome.jp/dbget-bin/www_bget?H00523
Laryngeal cancer	KEGG DISEASE	H00055	4	7	0.000104335038509	0.000896784497664	7157|1956|595|4609	http://www.genome.jp/dbget-bin/www_bget?H00055
Osteosarcoma	KEGG DISEASE	H00036	4	7	0.000104335038509	0.000896784497664	7157|5925|4193|4609	http://www.genome.jp/dbget-bin/www_bget?H00036
Follicular lymphoma	KEGG DISEASE	H01613	4	7	0.000104335038509	0.000896784497664	2146|1387|2033|596	http://www.genome.jp/dbget-bin/www_bget?H01613
@@Follicular lymphoma	NHGRI GWAS Catalog		2	11	0.0393495999269	0.0959811187406	2113|596	None
Rheumatoid arthritis	NHGRI GWAS Catalog		13	141	0.000119518879726	0.00101520742543	1437|79977|3394|2625|861|1235|5588|472|23569|5781|6363|2113|6366	None
Optic disc area	NHGRI GWAS Catalog		5	16	0.000130284116546	0.00109378060635	5915|29775|7049|7026|6299	None
Bone mineral density (hip)	NHGRI GWAS Catalog		5	18	0.00020682754029	0.00170567168421	1499|8792|2099|8600|10014	None
Hypothalamus and pituitary gland diseases	KEGG DISEASE		7	43	0.000211139089397	0.00170567168421	6658|5626|3479|2688|54756|3480|2260	None
Multiple myeloma	KEGG DISEASE	H00010	4	9	0.000217343206298	0.00170567168421	7157|3845|595|4609	http://www.genome.jp/dbget-bin/www_bget?H00010
@@Multiple myeloma	NHGRI GWAS Catalog		1	17	0.361155814449	0.39448486843	5460	None
Salivary gland cancer	KEGG DISEASE	H01508	4	9	0.000217343206298	0.00170567168421	4916|2064|1956|4602	http://www.genome.jp/dbget-bin/www_bget?H01508
Migraine - clinic-based	NHGRI GWAS Catalog		4	9	0.000217343206298	0.00170567168421	79054|55966|4209|7048	None
Urinary bladder cancer	NHGRI GWAS Catalog		4	9	0.000217343206298	0.00170567168421	182|8626|10460|4609	None
Diabetes, type 2	OMIM	125853	6	30	0.000225337827783	0.00174939689956	3667|208|3569|8660|5468|3172	http://omim.org/entry/125853
Leukemia, acute myeloid	OMIM	601626	5	20	0.000313535089123	0.00239564692524	861|1050|3717|7015|3845	http://omim.org/entry/601626
Kidney diseases	KEGG DISEASE		9	79	0.000318534771223	0.00239564692524	977|64321|2335|9368|5310|185|6648|81|22897	None
Urinary system diseases	KEGG DISEASE		9	79	0.000318534771223	0.00239564692524	977|64321|2335|9368|5310|185|6648|81|22897	None
Primary immunodeficiency	KEGG DISEASE		12	138	0.000354193221995	0.00263636604413	8517|1789|6774|6777|3718|6772|7852|472|6786|718|4615|4792	None
Periodontitis (Mean PAL)	NHGRI GWAS Catalog		6	34	0.000408502465004	0.00300957938503	5728|64750|332|22943|2114|10015	None
Graft-versus-host disease	KEGG DISEASE	H00084	4	12	0.000521617229645	0.00376607639804	7124|3569|7040|7042	http://www.genome.jp/dbget-bin/www_bget?H00084
Pituitary Dwarfism (PD)	KEGG DISEASE	H00254	4	12	0.000521617229645	0.00376607639804	5626|2688|3479|6658	http://www.genome.jp/dbget-bin/www_bget?H00254
Hematologic diseases	KEGG DISEASE		12	145	0.000535064113441	0.00382491376143	2623|3717|718|7157|7056|2147|861|2034|5054|7015|2821|7428	None
Self-reported allergy	NHGRI GWAS Catalog		6	37	0.000609519937097	0.00431444504495	604|100507436|2625|4088|3169|2113	None
Liver diseases	KEGG DISEASE		5	24	0.00064607993688	0.00448528571565	182|9420|5310|4853|9076	None
Systemic lupus erythematosus	NHGRI GWAS Catalog		9	89	0.000706022253108	0.0048547434928	51176|7301|960|6772|3918|4855|2113|1460|200424	None
@@Systemic lupus erythematosus	KEGG DISEASE	H00080	3	14	0.00778383611042	0.0318042744873	7124|5133|1401	http://www.genome.jp/dbget-bin/www_bget?H00080
Menarche (age at onset)	NHGRI GWAS Catalog		13	173	0.000745945132158	0.00498652814212	55366|4915|6586|5295|1981|23513|2494|23314|11149|23410|7421|2099|5122	None
Familial thoracic aortic aneurysm and dissection (TAAD)	KEGG DISEASE	H00801	3	5	0.000756079209049	0.00498652814212	7046|59|7048	http://www.genome.jp/dbget-bin/www_bget?H00801
Avascular necrosis of femoral head	KEGG DISEASE	H01529	3	5	0.000756079209049	0.00498652814212	5054|7422|5243	http://www.genome.jp/dbget-bin/www_bget?H01529
Neural tube defects	OMIM	182940	3	5	0.000756079209049	0.00498652814212	81839|6862|6347	http://omim.org/entry/182940
Melanoma	NHGRI GWAS Catalog		5	25	0.000759720354062	0.00498652814212	472|9869|7015|142|4170	None
Isolated orofacial clefts	KEGG DISEASE	H00516	4	14	0.000843333275929	0.00543648772518	7039|2260|652|8626	http://www.genome.jp/dbget-bin/www_bget?H00516
Mammographic density (dense area)	NHGRI GWAS Catalog		4	14	0.000843333275929	0.00543648772518	9863|2099|3479|57591	None
Vertical cup-disc ratio	NHGRI GWAS Catalog		5	26	0.000887634391884	0.00567143390213	6495|29775|7049|650|6299	None
Ewing's sarcoma	KEGG DISEASE	H00035	3	6	0.00111340013993	0.00692995604337	2118|2078|2115	http://www.genome.jp/dbget-bin/www_bget?H00035
Nasopharyngeal cancer	KEGG DISEASE	H00054	3	6	0.00111340013993	0.00692995604337	999|11186|596	http://www.genome.jp/dbget-bin/www_bget?H00054
Forced vital capacity	NHGRI GWAS Catalog		3	6	0.00111340013993	0.00692995604337	2202|654|51741	None
Chronic lymphocytic leukemia	NHGRI GWAS Catalog		6	43	0.00123420844227	0.00761622645569	51176|59|3394|596|355|4609	None
Schizophrenia	NHGRI GWAS Catalog		23	440	0.00129068985555	0.00789727182801	406907|50855|6387|6720|56288|6925|9839|387893|80204|1500|2033|83719|8829|406925|5045|1958|23314|5595|7088|406890|84833|4855|8452	None
@@Schizophrenia	OMIM	181500	1	14	0.31160902734	0.358251142897	207	http://omim.org/entry/181500
Pubertal anthropometrics	NHGRI GWAS Catalog		5	29	0.00136794287029	0.00829961976767	5443|5595|10413|100507436|3732	None
Multiple sclerosis	NHGRI GWAS Catalog		11	141	0.00140292310608	0.00844092068825	4790|868|5594|6774|155061|7852|3394|4609|6198|4602|7532	None
Malignant melanoma	KEGG DISEASE	H00038	3	7	0.00156155093892	0.00916617705608	7157|5728|673	http://www.genome.jp/dbget-bin/www_bget?H00038
Chronic myeloid leukemia (CML)	KEGG DISEASE	H00004	3	7	0.00156155093892	0.00916617705608	7157|861|5925	http://www.genome.jp/dbget-bin/www_bget?H00004
Renal cell carcinoma	NHGRI GWAS Catalog		3	7	0.00156155093892	0.00916617705608	9839|2034|4609	None
@@Renal cell carcinoma	KEGG DISEASE	H00021	2	6	0.0153183364263	0.0489373402644	4233|7428	http://www.genome.jp/dbget-bin/www_bget?H00021
@@Renal cell carcinoma	OMIM	144700	1	7	0.180555377503	0.260201561991	7428	http://omim.org/entry/144700
Other immune system diseases	KEGG DISEASE		5	31	0.00177988510444	0.0102806163633	114548|9966|100507436|6772|9051	None
Migraine	NHGRI GWAS Catalog		4	18	0.0018645604613	0.0106842274052	79054|92140|4209|7048	None
Neurodegenerative diseases	KEGG DISEASE		12	170	0.00192496047189	0.0109434760686	5274|2896|2705|2934|7415|472|4000|6310|10397|367|283|51741	None
46,XX disorders of sex development (Disorders of gonadal development)	KEGG DISEASE	H00598	3	8	0.00210800690157	0.0117075460226	6662|2492|6658	http://www.genome.jp/dbget-bin/www_bget?H00598
Gastric cancer, somatic	OMIM	613659	3	8	0.00210800690157	0.0117075460226	2263|2064|5290	http://omim.org/entry/613659
Adiposity	NHGRI GWAS Catalog		3	8	0.00210800690157	0.0117075460226	3667|10253|9208	None
Systemic sclerosis	NHGRI GWAS Catalog		4	19	0.00221355686572	0.0121074852807	388|4855|6660|3394	None
@@Systemic sclerosis	KEGG DISEASE	H01492	1	17	0.361155814449	0.39448486843	1235	http://www.genome.jp/dbget-bin/www_bget?H01492
Bone mineral density (spine)	NHGRI GWAS Catalog		4	19	0.00221355686572	0.0121074852807	8792|2099|8600|10014	None
Other congenital disorders of metabolism	KEGG DISEASE		7	68	0.00247221817939	0.0134206129738	6591|857|948|4001|284119|1950|9370	None
Celiac disease	NHGRI GWAS Catalog		9	109	0.00260274837855	0.0140237636516	1234|283120|3219|5588|6885|729230|2113|430|10803	None
Acute lymphoblastic leukemia (ALL) (Precursor B lymphoblastic leukemia/lymphoma)	KEGG DISEASE	H00001	3	9	0.00275952436045	0.0145428948047	861|6929|4609	http://www.genome.jp/dbget-bin/www_bget?H00001
Male-pattern baldness	NHGRI GWAS Catalog		3	9	0.00275952436045	0.0145428948047	367|9759|3170	None
Molar-incisor hypomineralization	NHGRI GWAS Catalog		3	9	0.00275952436045	0.0145428948047	10891|1003|693158	None
Cardiac diseases	KEGG DISEASE		8	90	0.00291263217444	0.0152385538402	4633|2627|4000|4878|182|6901|4853|4851	None
Fasting insulin-related traits (interaction with BMI)	NHGRI GWAS Catalog		4	21	0.00304155378834	0.0157985743538	3667|5468|10253|3479	None
Triglycerides	NHGRI GWAS Catalog		8	91	0.00310187798104	0.0159968278736	1235|3667|5629|718|51129|4233|406940|7422	None
Asthma	KEGG DISEASE	H00079	3	10	0.00352217870669	0.0175977009751	929|7124|3565	http://www.genome.jp/dbget-bin/www_bget?H00079
@@Asthma	NHGRI GWAS Catalog		3	44	0.108633463886	0.221943270482	4088|4855|6862	None
@@Asthma	OMIM	600807	1	11	0.25822367448	0.320890693588	7124	http://omim.org/entry/600807
Cardiac hypertrophy	NHGRI GWAS Catalog		4	22	0.00352540579283	0.0175977009751	182|2246|6513|6659	None
Asthma and hay fever	NHGRI GWAS Catalog		4	22	0.00352540579283	0.0175977009751	4088|7145|5744|6493	None
