##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
HTLV-I infection	KEGG PATHWAY	hsa05166	37	259	3.9042503144e-19	5.00453903937e-17	5159|8503|595|5295|3718|1387|7494|1871|8324|7015|8850|6513|1856|5925|2033|81029|2113|2114|7538|8517|894|208|1869|3725|4605|4602|7048|4792|94241|1437|1026|8829|3569|2002|1385|5970|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:8829%09red/hsa:3569%09red/hsa:81029%09red/hsa:8503%09red/hsa:595%09red/hsa:3725%09red/hsa:2535%09red/hsa:3718%09red/hsa:7494%09red/hsa:5925%09red/hsa:8850%09red/hsa:7538%09red/hsa:2002%09red/hsa:1856%09red/hsa:1871%09red/hsa:7015%09red/hsa:894%09red/hsa:8517%09red/hsa:2113%09red/hsa:4792%09red/hsa:5295%09red/hsa:5159%09red/hsa:208%09red/hsa:5970%09red/hsa:8324%09red/hsa:1026%09red/hsa:2033%09red/hsa:2114%09red/hsa:1437%09red/hsa:6513%09red/hsa:1385%09red/hsa:94241%09red/hsa:4602%09red/hsa:4605%09red/hsa:1387%09red/hsa:1869%09red/hsa:7048%09red
Angiogenesis	PANTHER	P00005	30	157	7.59751336636e-19	8.92707820547e-17	5159|8503|5295|332|6772|5588|3725|389|1948|1856|81029|2152|1398|2113|5921|1399|208|5584|5321|388|80310|5777|8877|6464|2048|2049|1410|4855|2149|2535	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Signaling by NOTCH	Reactome	R-HSA-157118	26	108	1.19973958655e-18	1.30125601311e-16	595|102|3066|3065|1871|9759|4854|83737|27161|8841|10014|408|1272|2033|55869|1869|3725|5045|3280|1387|7088|6500|79718|1385|4855|8850	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Axon guidance	Reactome	R-HSA-422475	51	549	2.04731855763e-18	2.06194226162e-16	5159|152559|8503|10298|5037|5295|3718|5217|391|3685|23365|3673|1948|6478|4067|2043|6477|5588|5921|54756|9462|9423|1400|57144|5781|3667|6586|1437|1272|998|8452|153090|59277|102|389|64218|1969|2046|10197|8829|1020|6464|2048|2049|8660|9965|408|1385|2254|388|7224	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
@@Axon guidance	KEGG PATHWAY	hsa04360	23	176	1.05673394526e-11	2.29229978895e-10	8503|10298|5295|50855|7224|23365|1948|1969|81029|5921|9423|8829|57144|5781|6586|998|59277|64218|1020|2046|2043|2048|2049	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:10298%09red/hsa:8503%09red/hsa:59277%09red/hsa:57144%09red/hsa:50855%09red/hsa:64218%09red/hsa:6586%09red/hsa:9423%09red/hsa:5921%09red/hsa:81029%09red/hsa:2043%09red/hsa:2046%09red/hsa:7224%09red/hsa:2048%09red/hsa:2049%09red/hsa:998%09red/hsa:5295%09red/hsa:23365%09red/hsa:8829%09red/hsa:1020%09red/hsa:5781%09red/hsa:1948%09red/hsa:1969%09red
Generic Transcription Pathway	Reactome	R-HSA-212436	62	822	5.53443502658e-18	5.20236892498e-16	23327|604|6497|2744|6498|332|3276|8445|28996|3066|3065|5054|3164|2100|2033|7295|7159|387893|4855|5562|7248|27165|10765|9891|2821|27161|51592|29117|7532|53615|10155|208|4194|64750|4193|672|7249|5915|27113|1869|3725|3726|4605|10919|7182|6097|94241|4854|1026|1020|5563|860|8850|4878|355|79718|8239|2103|2101|1387|155061|51741	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Signalling by NGF	Reactome	R-HSA-166520	45	441	8.49356650201e-18	7.48495547989e-16	5159|152559|8503|23365|5037|5295|3718|3066|3065|9181|3164|4615|4205|2309|8660|5584|7249|27161|5921|54756|9462|8841|57142|5781|3667|1399|1437|208|1398|4193|8452|153090|5045|4792|10197|1026|8878|4915|6464|5970|2002|9965|408|1385|2254	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166520
FoxO signaling pathway	KEGG PATHWAY	hsa04068	27	134	1.31753478489e-17	1.092778851e-15	4303|604|8503|595|5295|8743|3276|10365|2309|6648|3479|5562|5563|2033|3667|894|208|4193|901|23411|7048|80854|1026|6502|3569|8660|1387	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:3667%09red/hsa:3569%09red/hsa:8503%09red/hsa:595%09red/hsa:10365%09red/hsa:6648%09red/hsa:604%09red/hsa:901%09red/hsa:3479%09red/hsa:4303%09red/hsa:6502%09red/hsa:3276%09red/hsa:8743%09red/hsa:80854%09red/hsa:894%09red/hsa:8660%09red/hsa:5295%09red/hsa:208%09red/hsa:1026%09red/hsa:2033%09red/hsa:1387%09red/hsa:23411%09red/hsa:5562%09red/hsa:5563%09red/hsa:4193%09red/hsa:2309%09red/hsa:7048%09red
Inflammation mediated by chemokine and cytokine signaling pathway	PANTHER	P00031	31	202	4.99059572345e-17	3.90929998337e-15	10298|729230|391|3725|3579|6347|6348|3576|6362|6367|6366|6364|1234|1235|1236|208|998|72|5321|389|3726|56413|6352|57144|6464|59|6376|408|5970|728|10803	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	52	624	6.51227743216e-17	4.83279535755e-15	5159|152559|8503|84868|5037|8600|5295|3718|4615|8945|4067|1981|50616|2688|5921|54756|1398|3569|5781|8517|3667|1399|3605|1437|3589|5008|3838|8742|3976|8452|153090|246778|8792|9021|5777|10197|5970|3394|1977|8878|6500|6464|9462|6772|8660|9965|9966|3965|55223|408|2254|51561	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	31	205	7.22037426358e-17	5.09036385583e-15	406903|406902|595|2719|8503|5328|23365|3673|8324|7078|79923|3479|7099|81029|5781|5295|208|4193|998|967|5777|868|1026|27250|2316|3685|2002|355|1514|6198|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:3479%09red/hsa:8503%09red/hsa:595%09red/hsa:5328%09red/hsa:2535%09red/hsa:79923%09red/hsa:355%09red/hsa:7078%09red/hsa:868%09red/hsa:5781%09red/hsa:7099%09red/hsa:81029%09red/hsa:2002%09red/hsa:2316%09red/hsa:967%09red/hsa:6198%09red/hsa:3673%09red/hsa:406903%09red/hsa:998%09red/hsa:5295%09red/hsa:406902%09red/hsa:23365%09red/hsa:208%09red/hsa:27250%09red/hsa:8324%09red/hsa:1026%09red/hsa:1514%09red/hsa:3685%09red/hsa:5777%09red/hsa:4193%09red/hsa:2719%09red
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	21	73	1.19524377113e-16	8.02520817761e-15	868|8503|1026|595|1399|8517|861|208|5295|6464|4193|1871|5925|3066|3065|1398|1869|5970|7048|4792|5781	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:1026%09red/hsa:868%09red/hsa:8503%09red/hsa:208%09red/hsa:6464%09red/hsa:1399%09red/hsa:1398%09red/hsa:861%09red/hsa:4193%09red/hsa:4792%09red/hsa:5295%09red/hsa:1871%09red/hsa:8517%09red/hsa:3065%09red/hsa:5970%09red/hsa:3066%09red/hsa:1869%09red/hsa:7048%09red/hsa:595%09red/hsa:5781%09red/hsa:5925%09red
Diseases of signal transduction	Reactome	R-HSA-5663202	35	282	1.8305610869e-16	1.17322324206e-14	5159|8503|5295|9208|1387|3066|3065|3164|9759|2309|7249|2033|5781|7415|8841|10014|3667|208|4193|55869|22943|102|7048|3280|10197|1026|6500|6464|6772|8660|9965|2254|79718|1385|8850	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Signaling by Interleukins	Reactome	R-HSA-449147	41	400	2.16652015068e-16	1.3281710489e-14	5159|152559|8503|84868|5037|5295|3718|5970|4615|8945|4067|1398|50616|5921|54756|9462|5781|8517|3667|1399|3605|1437|3589|5008|3976|8452|153090|246778|9021|5777|10197|3569|8878|6500|6464|8660|9965|3965|408|2254|51561	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Viral carcinogenesis	KEGG PATHWAY	hsa05203	30	205	5.04805679421e-16	2.9657333666e-14	8503|595|5295|3718|3066|3065|5970|81|9759|8850|4067|5925|2033|8841|7532|1234|8517|894|718|4193|998|55869|3725|4792|10014|1026|85477|6502|1385|1387	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:8503%09red/hsa:1234%09red/hsa:595%09red/hsa:3725%09red/hsa:3718%09red/hsa:4067%09red/hsa:7532%09red/hsa:5925%09red/hsa:8850%09red/hsa:55869%09red/hsa:6502%09red/hsa:85477%09red/hsa:3065%09red/hsa:81%09red/hsa:3066%09red/hsa:10014%09red/hsa:894%09red/hsa:8517%09red/hsa:8841%09red/hsa:4792%09red/hsa:5295%09red/hsa:718%09red/hsa:5970%09red/hsa:9759%09red/hsa:998%09red/hsa:1026%09red/hsa:2033%09red/hsa:1387%09red/hsa:1385%09red/hsa:4193%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	28	180	1.20180371708e-15	6.77817296432e-14	604|4300|3066|3065|5218|1050|1051|5090|3576|3479|2078|25942|2115|1236|894|4193|7048|5328|1437|3205|1026|861|860|3569|929|5970|64083|7403	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:3569%09red/hsa:3479%09red/hsa:1236%09red/hsa:5328%09red/hsa:929%09red/hsa:604%09red/hsa:64083%09red/hsa:861%09red/hsa:860%09red/hsa:4300%09red/hsa:1050%09red/hsa:1051%09red/hsa:3065%09red/hsa:5090%09red/hsa:3066%09red/hsa:5218%09red/hsa:894%09red/hsa:2078%09red/hsa:3576%09red/hsa:5970%09red/hsa:7403%09red/hsa:3205%09red/hsa:1026%09red/hsa:1437%09red/hsa:2115%09red/hsa:4193%09red/hsa:7048%09red/hsa:25942%09red
Gene Expression	Reactome	R-HSA-74160	89	1719	1.52061369938e-15	8.246405062e-14	1789|23512|1786|28996|7249|5563|55290|387893|27165|9939|27161|10765|25942|29117|2744|672|284119|6097|1020|10197|4878|29128|5915|1387|8239|3276|8445|2821|5093|5562|7248|7538|51592|7532|4194|64750|4193|23411|1936|7702|3014|3015|51741|8726|23327|332|23405|3164|7159|1981|10919|7295|10155|8850|55272|22803|1869|3725|3726|4605|3720|94241|1026|1994|84944|860|2103|2101|2100|155061|604|6497|6498|3066|3065|5054|53615|1965|2033|9891|80312|208|7182|27113|1977|355|79718|4855|4854	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Cellular responses to stress	Reactome	R-HSA-2262752	39	387	1.96336333029e-15	1.02531196137e-13	768|23512|1871|9531|7249|3309|3297|1051|6648|4001|3576|5562|7248|5925|2033|7415|2113|2114|5563|25828|10919|112399|7295|9448|23135|4193|23411|3490|1869|3725|5970|1026|8726|3569|3014|3015|1410|1387|7428	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Insulin signaling pathway	KEGG PATHWAY	hsa04910	25	139	2.12589544879e-15	1.07054020814e-13	8503|5295|6720|2194|7249|5563|8660|5584|2203|10891|5562|7248|1399|1398|3667|208|9021|868|2319|1977|6464|2002|23265|3099|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5584%09red/hsa:3667%09red/hsa:8503%09red/hsa:2002%09red/hsa:868%09red/hsa:8660%09red/hsa:1399%09red/hsa:1398%09red/hsa:7249%09red/hsa:7248%09red/hsa:1977%09red/hsa:10891%09red/hsa:6464%09red/hsa:2319%09red/hsa:5563%09red/hsa:6198%09red/hsa:5295%09red/hsa:208%09red/hsa:3099%09red/hsa:23265%09red/hsa:5562%09red/hsa:2194%09red/hsa:2203%09red/hsa:9021%09red/hsa:6720%09red
Chemokine receptors bind chemokines	Reactome	R-HSA-380108	18	59	7.70791488261e-15	3.74764137396e-13	1234|4283|1236|6352|6347|1235|6348|3576|10563|6363|729230|6370|3579|10803|6367|6366|6376|6364	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380108
Fc epsilon receptor (FCERI) signaling	Reactome	R-HSA-2454202	36	350	1.35280259687e-14	6.35817220527e-13	5159|152559|8503|5037|5295|3718|5588|5970|3164|2309|8945|4067|7249|27161|5921|54756|9462|5781|8517|3667|1437|208|4193|8452|153090|3725|4792|10197|1026|6500|6464|8660|9965|408|1385|2254	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2454202
AMPK signaling pathway	KEGG PATHWAY	hsa04152	23	125	1.83048262318e-14	8.32574354415e-13	8503|595|1080|5295|6720|2194|7249|5563|2309|2203|10891|3479|5562|7248|9370|3667|208|23411|1994|948|8660|1385|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:3667%09red/hsa:8503%09red/hsa:9370%09red/hsa:948%09red/hsa:595%09red/hsa:6720%09red/hsa:6198%09red/hsa:3479%09red/hsa:7249%09red/hsa:7248%09red/hsa:10891%09red/hsa:5563%09red/hsa:1994%09red/hsa:1080%09red/hsa:8660%09red/hsa:5295%09red/hsa:208%09red/hsa:1385%09red/hsa:23411%09red/hsa:5562%09red/hsa:2194%09red/hsa:2203%09red/hsa:2309%09red
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	36	355	2.00571713566e-14	8.83769112901e-13	604|332|3276|8445|28996|7249|3065|5563|2821|7295|7159|387893|5562|7248|27165|27161|9891|2033|29117|7532|53615|208|4194|4193|672|27113|1869|3725|10919|94241|1026|1020|2744|355|1387|3066	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	32	277	2.21060382108e-14	9.44530723553e-13	8503|10672|11343|3718|391|3309|5054|81|7078|4067|3479|5588|5781|1398|29789|408|308|5295|208|998|5321|388|10447|5777|1437|967|51706|948|2316|6464|2147|2149	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
CCKR signaling map	PANTHER	P06959	26	175	3.29119147764e-14	1.36487646573e-12	595|5295|4209|5054|3164|2309|4067|3576|5588|4792|1398|5781|3667|998|5321|3725|5328|4170|1994|1977|6464|3685|2002|1385|7182|6198	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P06959
Chromatin organization	Reactome	R-HSA-4839726	31	265	4.15278997113e-14	1.62650940536e-12	23326|595|23512|3276|10919|3066|3065|86|2033|387893|5927|10765|8841|23030|53615|23135|9869|23569|80854|55869|25855|1387|84148|3014|3015|23028|79718|8850|51147|7403|8726	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	31	265	4.15278997113e-14	1.62650940536e-12	23326|595|23512|3276|10919|3066|3065|86|2033|387893|5927|10765|8841|23030|53615|23135|9869|23569|80854|55869|25855|1387|84148|3014|3015|23028|79718|8850|51147|7403|8726	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	21	103	4.31944099436e-14	1.6460572438e-12	8503|1026|5295|1977|1387|6513|5054|3479|27035|4878|7099|208|112399|2023|5970|2597|2033|3099|6198|3569|7428	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:1026%09red/hsa:8503%09red/hsa:2033%09red/hsa:6198%09red/hsa:2023%09red/hsa:1387%09red/hsa:6513%09red/hsa:3479%09red/hsa:3569%09red/hsa:112399%09red/hsa:1977%09red/hsa:4878%09red/hsa:2597%09red/hsa:208%09red/hsa:27035%09red/hsa:3099%09red/hsa:7099%09red/hsa:5054%09red/hsa:7428%09red/hsa:5295%09red/hsa:5970%09red
