##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	10	265	8.17368328086e-10	4.35720193357e-08	3569|6352|3589|3576|7852|6387|7040|650|9547|6364	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:650%09red/hsa:3569%09red/hsa:6387%09red/hsa:6364%09red/hsa:3589%09red/hsa:3576%09red/hsa:9547%09red/hsa:6352%09red/hsa:7040%09red/hsa:7852%09red
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	10	277	1.23393092509e-09	6.10795807918e-08	2335|207|2316|10672|7040|5747|10447|51706|2149|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Diseases of signal transduction	Reactome	R-HSA-5663202	10	282	1.45702735108e-09	6.73146636201e-08	2475|207|6774|89780|182|6868|7040|102|1499|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Cellular responses to stress	Reactome	R-HSA-2262752	11	387	1.98969188336e-09	8.61785296979e-08	2475|3569|5594|8091|7157|3576|5562|6774|3091|3014|1410	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Interleukin signaling pathway	PANTHER	P00036	7	88	2.40198504251e-09	9.79162137918e-08	2475|3569|5594|207|6774|3589|3576	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00036
Hepatitis B	KEGG PATHWAY	hsa05161	8	146	2.68238444785e-09	1.03271801242e-07	3569|5594|207|7157|3576|7099|6774|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:3569%09red/hsa:6774%09red/hsa:5594%09red/hsa:7099%09red/hsa:3576%09red/hsa:7157%09red/hsa:7040%09red/hsa:207%09red
Hippo signaling pathway	KEGG PATHWAY	hsa04390	8	154	4.00004187833e-09	1.45896264299e-07	4092|84962|89780|999|7040|650|1499|7474	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:650%09red/hsa:7474%09red/hsa:89780%09red/hsa:999%09red/hsa:1499%09red/hsa:84962%09red/hsa:4092%09red/hsa:7040%09red
Endocrine resistance	KEGG PATHWAY	hsa01522	7	97	4.54167075485e-09	1.57368891656e-07	2475|5594|207|7157|182|5747|4851	http://www.genome.jp/kegg-bin/show_pathway?hsa01522/hsa:5594%09red/hsa:207%09red/hsa:5747%09red/hsa:7157%09red/hsa:2475%09red/hsa:182%09red/hsa:4851%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	hsa04933	7	101	5.9173953687e-09	1.95274047167e-07	3569|5594|207|6774|3576|7040|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa04933/hsa:3569%09red/hsa:6774%09red/hsa:5594%09red/hsa:3576%09red/hsa:2335%09red/hsa:7040%09red/hsa:207%09red
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	7	103	6.72836986759e-09	2.11943650829e-07	2475|5594|207|6774|3569|7099|3091	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:3569%09red/hsa:6774%09red/hsa:5594%09red/hsa:7099%09red/hsa:2475%09red/hsa:207%09red/hsa:3091%09red
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	7	104	7.16800415142e-09	2.15975081606e-07	3569|6352|5594|207|3576|7099|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3576%09red/hsa:6352%09red/hsa:7040%09red/hsa:207%09red
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660826	4	7	8.29211248999e-09	2.29857358223e-07	102|182|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660826
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660825	4	7	8.29211248999e-09	2.29857358223e-07	102|182|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660825
Alzheimer disease-presenilin pathway	PANTHER	P00004	7	112	1.16492400752e-08	3.05917679523e-07	89780|999|6868|7224|1499|7474|4851	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00004
HTLV-I infection	KEGG PATHWAY	hsa05166	9	259	1.19188706308e-08	3.05917679523e-07	207|7157|89780|3569|6929|7040|1499|7015|7474	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3569%09red/hsa:7474%09red/hsa:89780%09red/hsa:1499%09red/hsa:7157%09red/hsa:6929%09red/hsa:7040%09red/hsa:207%09red/hsa:7015%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	8	180	1.28520649372e-08	3.18088607196e-07	3569|8091|7157|3576|6929|5747|6935|5218	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:3569%09red/hsa:3576%09red/hsa:7157%09red/hsa:5747%09red/hsa:6929%09red/hsa:8091%09red/hsa:5218%09red/hsa:6935%09red
Thyroid hormone signaling pathway	KEGG PATHWAY	hsa04919	7	118	1.64001126008e-08	3.91906139048e-07	2475|5594|207|7157|3091|1499|4851	http://www.genome.jp/kegg-bin/show_pathway?hsa04919/hsa:5594%09red/hsa:207%09red/hsa:7157%09red/hsa:1499%09red/hsa:2475%09red/hsa:4851%09red/hsa:3091%09red
Hemostasis	Reactome	R-HSA-109582	12	605	1.7702065869e-08	4.08917721575e-07	5594|51706|7157|10672|2316|3678|7040|5747|207|10447|2149|2335	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
Disease	Reactome	R-HSA-1643685	14	902	2.16061845129e-08	4.83002769918e-07	182|2475|207|6774|89780|7099|7852|6868|7040|1499|102|9420|4851|4582	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Inflammation mediated by chemokine and cytokine signaling pathway	PANTHER	P00031	8	202	3.03887484177e-08	6.58106332921e-07	6352|5594|207|6774|3576|7852|57144|6364	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031
Focal adhesion	KEGG PATHWAY	hsa04510	8	203	3.15278635341e-08	6.62085134216e-07	5594|207|2316|3678|5747|1499|57144|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:5594%09red/hsa:57144%09red/hsa:3678%09red/hsa:5747%09red/hsa:2335%09red/hsa:2316%09red/hsa:1499%09red/hsa:207%09red
Pertussis	KEGG PATHWAY	hsa05133	6	75	3.39152154384e-08	6.91271891141e-07	3569|5594|114548|3576|7099|3678	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3678%09red/hsa:3576%09red/hsa:114548%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	7	134	3.77357813548e-08	7.47168470825e-07	6794|5594|207|6774|3569|5562|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:3569%09red/hsa:6774%09red/hsa:5594%09red/hsa:6794%09red/hsa:5562%09red/hsa:7040%09red/hsa:207%09red
Regulation of actin cytoskeleton	KEGG PATHWAY	hsa04810	8	215	4.83495402898e-08	9.30728650579e-07	5594|10672|5217|3678|5747|57144|2149|2335	http://www.genome.jp/kegg-bin/show_pathway?hsa04810/hsa:2149%09red/hsa:5594%09red/hsa:57144%09red/hsa:10672%09red/hsa:3678%09red/hsa:5747%09red/hsa:2335%09red/hsa:5217%09red
Salmonella infection	KEGG PATHWAY	hsa05132	6	86	7.30341177423e-08	1.36790928636e-06	3569|5594|2316|3576|7099|5217	http://www.genome.jp/kegg-bin/show_pathway?hsa05132/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3576%09red/hsa:2316%09red/hsa:5217%09red
mTOR signaling pathway	KEGG PATHWAY	hsa04150	7	154	9.38114096316e-08	1.66394010502e-06	2475|5594|207|89780|6794|5562|7474	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:7474%09red/hsa:5594%09red/hsa:89780%09red/hsa:6794%09red/hsa:5562%09red/hsa:2475%09red/hsa:207%09red
Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	R-HSA-2691232	4	15	9.60427189045e-08	1.66394010502e-06	102|182|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691232
Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	R-HSA-2691230	4	15	9.60427189045e-08	1.66394010502e-06	102|182|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691230
Signaling by EGFR	Reactome	R-HSA-177929	9	338	1.08606171802e-07	1.83570919655e-06	2475|5594|207|6868|5747|102|10253|10252|2335	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177929
Amoebiasis	KEGG PATHWAY	hsa05146	6	100	1.7030959702e-07	2.81010835083e-06	3569|2335|3576|7099|7040|5747	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:3569%09red/hsa:7099%09red/hsa:5747%09red/hsa:3576%09red/hsa:7040%09red/hsa:2335%09red
Endometrial cancer	KEGG PATHWAY	hsa05213	5	52	2.11777318192e-07	3.41306236063e-06	7157|1499|999|5594|207	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:999%09red/hsa:5594%09red/hsa:207%09red/hsa:7157%09red/hsa:1499%09red
Influenza A	KEGG PATHWAY	hsa05164	7	176	2.24388935397e-07	3.5341257325e-06	3569|6352|5594|207|114548|3576|7099	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3576%09red/hsa:114548%09red/hsa:6352%09red/hsa:207%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	6	106	2.36242955871e-07	3.63814152041e-06	3569|6352|5594|207|3576|7099	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:3569%09red/hsa:5594%09red/hsa:7099%09red/hsa:3576%09red/hsa:6352%09red/hsa:207%09red
Signaling by NOTCH	Reactome	R-HSA-157118	6	108	2.6239034146e-07	3.95296753547e-06	7157|182|3091|6868|102|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Basal cell carcinoma	KEGG PATHWAY	hsa05217	5	55	2.74749380889e-07	4.05109193524e-06	7157|89780|7474|650|1499	http://www.genome.jp/kegg-bin/show_pathway?hsa05217/hsa:650%09red/hsa:7474%09red/hsa:1499%09red/hsa:7157%09red/hsa:89780%09red
TNF signaling pathway	KEGG PATHWAY	hsa04668	6	110	2.90869218229e-07	4.19942433818e-06	6352|5594|207|3569|182|6364	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:3569%09red/hsa:5594%09red/hsa:6364%09red/hsa:6352%09red/hsa:182%09red/hsa:207%09red
p53 pathway by glucose deprivation	PANTHER	P04397	4	21	3.10184399845e-07	4.38689365496e-06	7157|6794|207|5562	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04397
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	5	57	3.2436529465e-07	4.49570298384e-06	114548|3576|6352|5594|3569	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:3569%09red/hsa:5594%09red/hsa:3576%09red/hsa:6352%09red/hsa:114548%09red
Chemokine receptors bind chemokines	Reactome	R-HSA-380108	5	59	3.80814971089e-07	5.17460343068e-06	7852|6387|3576|6352|6364	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380108
Cellular Senescence	Reactome	R-HSA-2559583	7	192	3.9546212356e-07	5.27029330052e-06	3569|5594|8091|7157|3576|3014|6774	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
VEGF signaling pathway	PANTHER	P00056	5	62	4.7976900725e-07	6.15703559305e-06	1410|3091|5594|207|5747	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00056
@@VEGF signaling pathway	KEGG PATHWAY	hsa04370	3	61	0.000433866122582	0.00167038457194	5594|207|5747	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:5594%09red/hsa:207%09red/hsa:5747%09red
Colorectal cancer	KEGG PATHWAY	hsa05210	5	62	4.7976900725e-07	6.15703559305e-06	7157|1499|5594|207|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:1499%09red/hsa:5594%09red/hsa:207%09red/hsa:7157%09red/hsa:7040%09red
Pancreatic cancer	KEGG PATHWAY	hsa05212	5	66	6.42166409552e-07	7.9468093182e-06	7157|6774|5594|207|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:6774%09red/hsa:5594%09red/hsa:207%09red/hsa:7157%09red/hsa:7040%09red
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	5	67	6.88850605968e-07	8.23057706786e-06	7157|2475|3091|5594|207	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:2475%09red/hsa:5594%09red/hsa:207%09red/hsa:3091%09red/hsa:7157%09red
Renal cell carcinoma	KEGG PATHWAY	hsa05211	5	67	6.88850605968e-07	8.23057706786e-06	3091|57144|5594|207|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa05211/hsa:57144%09red/hsa:5594%09red/hsa:207%09red/hsa:3091%09red/hsa:7040%09red
Hepatitis C	KEGG PATHWAY	hsa05160	6	133	8.44046465661e-07	9.60169024408e-06	5594|207|7157|3576|1366|6774	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:6774%09red/hsa:5594%09red/hsa:1366%09red/hsa:3576%09red/hsa:7157%09red/hsa:207%09red
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	5	70	8.45170425525e-07	9.60169024408e-06	207|6774|2475|6794|5562	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:2475%09red/hsa:6794%09red/hsa:207%09red/hsa:5562%09red/hsa:6774%09red
Signaling by NOTCH1	Reactome	R-HSA-1980143	5	70	8.45170425525e-07	9.60169024408e-06	102|182|3091|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
Thyroid cancer	KEGG PATHWAY	hsa05216	4	29	9.89461634695e-07	1.10596276265e-05	7157|1499|999|5594	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:999%09red/hsa:5594%09red/hsa:7157%09red/hsa:1499%09red
Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	R-HSA-2122948	4	30	1.11943412337e-06	1.23137753571e-05	102|182|6868|4851	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122948
Phospholipase D signaling pathway	KEGG PATHWAY	hsa04072	6	144	1.31713285145e-06	1.42620791571e-05	2475|5594|207|10672|3576|2149	http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:2149%09red/hsa:5594%09red/hsa:3576%09red/hsa:10672%09red/hsa:2475%09red/hsa:207%09red
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	7	232	1.34811459334e-06	1.43729755875e-05	207|89780|3014|25776|1499|7015|7474	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681
Bacterial invasion of epithelial cells	KEGG PATHWAY	hsa05100	5	78	1.40149405792e-06	1.47156876081e-05	1499|3678|999|2335|5747	http://www.genome.jp/kegg-bin/show_pathway?hsa05100/hsa:999%09red/hsa:1499%09red/hsa:3678%09red/hsa:5747%09red/hsa:2335%09red
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	5	81	1.67203780493e-06	1.72943611764e-05	6774|2475|3569|5594|207	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:2475%09red/hsa:3569%09red/hsa:6774%09red/hsa:5594%09red/hsa:207%09red
Prion diseases	KEGG PATHWAY	hsa05020	4	35	1.96814296425e-06	2.0057692268e-05	3569|6352|5594|4851	http://www.genome.jp/kegg-bin/show_pathway?hsa05020/hsa:3569%09red/hsa:5594%09red/hsa:4851%09red/hsa:6352%09red
ErbB signaling pathway	KEGG PATHWAY	hsa04012	5	88	2.46401679654e-06	2.47472991305e-05	2475|57144|5594|207|5747	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:2475%09red/hsa:57144%09red/hsa:5594%09red/hsa:207%09red/hsa:5747%09red
Prostate cancer	KEGG PATHWAY	hsa05215	5	89	2.59777674448e-06	2.57179897703e-05	7157|1499|2475|5594|207	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:2475%09red/hsa:5594%09red/hsa:207%09red/hsa:7157%09red/hsa:1499%09red
Notch signaling pathway	PANTHER	P00045	4	40	3.22010256078e-06	3.09934871475e-05	102|182|6868|4851	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00045
@@Notch signaling pathway	KEGG PATHWAY	hsa04330	3	48	0.000221560435015	0.000941971665432	182|6868|4851	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:6868%09red/hsa:4851%09red/hsa:182%09red
mTOR signalling	Reactome	R-HSA-165159	4	40	3.22010256078e-06	3.09934871475e-05	207|2475|6794|5562	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165159
Longevity regulating pathway	KEGG PATHWAY	hsa04211	5	94	3.3546644137e-06	3.18463347766e-05	7157|2475|207|6794|5562	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:2475%09red/hsa:6794%09red/hsa:207%09red/hsa:5562%09red/hsa:7157%09red
Bladder cancer	KEGG PATHWAY	hsa05219	4	41	3.52809869139e-06	3.25996319084e-05	7157|3576|999|5594	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:999%09red/hsa:5594%09red/hsa:3576%09red/hsa:7157%09red
PKB-mediated events	Reactome	R-HSA-109703	4	41	3.52809869139e-06	3.25996319084e-05	207|2475|6794|5562	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109703
IRS-mediated signalling	Reactome	R-HSA-112399	7	276	4.11409926395e-06	3.7514089341e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112399
Insulin receptor signalling cascade	Reactome	R-HSA-74751	7	279	4.40834337298e-06	3.90699275907e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74751
IGF1R signaling cascade	Reactome	R-HSA-2428924	7	280	4.51023695131e-06	3.90699275907e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428924
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	R-HSA-2404192	7	280	4.51023695131e-06	3.90699275907e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2404192
IRS-related events triggered by IGF1R	Reactome	R-HSA-2428928	7	280	4.51023695131e-06	3.90699275907e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428928
Elastic fibre formation	Reactome	R-HSA-1566948	4	45	4.98219426045e-06	4.26254397838e-05	3678|2335|650|7040	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1566948
Extracellular matrix organization	Reactome	R-HSA-1474244	7	290	5.64168173717e-06	4.76790907788e-05	2335|999|3678|6868|7040|650|102	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Signaling by GPCR	Reactome	R-HSA-372790	13	1248	5.83228276798e-06	4.86960476893e-05	6352|5594|207|5747|10672|3576|7852|6387|89780|6364|7474|2149|2335	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372790
Insulin resistance	KEGG PATHWAY	hsa04931	5	109	6.70267011704e-06	5.52970284656e-05	6774|2475|3569|207|5562	http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:2475%09red/hsa:3569%09red/hsa:207%09red/hsa:5562%09red/hsa:6774%09red
Malaria	KEGG PATHWAY	hsa05144	4	49	6.83781829088e-06	5.57483303009e-05	3576|7040|3569|7099	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:3569%09red/hsa:7099%09red/hsa:3576%09red/hsa:7040%09red
Senescence-Associated Secretory Phenotype (SASP)	Reactome	R-HSA-2559582	5	110	6.99477655023e-06	5.63648854571e-05	6774|3014|3576|5594|3569	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559582
Peptide ligand-binding receptors	Reactome	R-HSA-375276	6	196	7.33510042371e-06	5.80543281466e-05	6352|3576|7852|6387|2149|6364	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375276
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	4	50	7.37197817735e-06	5.80543281466e-05	7852|6387|3569|7040	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:3569%09red/hsa:6387%09red/hsa:7852%09red/hsa:7040%09red
Signaling by Insulin receptor	Reactome	R-HSA-74752	7	303	7.45683680918e-06	5.80627854917e-05	2475|2335|207|6794|5562|5747|5594	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74752
RHO GTPase Effectors	Reactome	R-HSA-195258	7	304	7.61450592024e-06	5.86316955858e-05	5594|2316|999|3014|5217|5747|1499	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195258
EGF receptor signaling pathway	PANTHER	P00018	5	114	8.26429865397e-06	6.29358128263e-05	6774|10253|10252|5594|207	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00018
