##Databases: KEGG DISEASE, OMIM, NHGRI GWAS Catalog
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Red blood cell count	NHGRI GWAS Catalog		1	14	0.0337162882136	0.0555327099989	7015	None
Myocardial infarction (early onset)	NHGRI GWAS Catalog		1	14	0.0337162882136	0.0555327099989	6387	None
Respiratory diseases	KEGG DISEASE		1	15	0.0359236337747	0.0578913234931	7015	None
Macular degeneration	KEGG DISEASE	H00821	1	15	0.0359236337747	0.0578913234931	7099	http://www.genome.jp/dbget-bin/www_bget?H00821
Post-traumatic stress disorder (asjusted for relatedness)	NHGRI GWAS Catalog		1	15	0.0359236337747	0.0578913234931	10397	None
Brain structure	NHGRI GWAS Catalog		1	16	0.0381259922366	0.0597218339929	8091	None
Eating disorders (purging via substances)	NHGRI GWAS Catalog		1	16	0.0381259922366	0.0597218339929	6364	None
Optic disc area	NHGRI GWAS Catalog		1	16	0.0381259922366	0.0597218339929	7026	None
Bone mineral density (paediatric, skull)	NHGRI GWAS Catalog		1	16	0.0381259922366	0.0597218339929	10447	None
Skin cancers	KEGG DISEASE		1	17	0.0403233747416	0.0614451424634	7157	None
Aortic root size	NHGRI GWAS Catalog		1	17	0.0403233747416	0.0614451424634	8091	None
Fat distribution (HIV)	NHGRI GWAS Catalog		1	17	0.0403233747416	0.0614451424634	3956	None
Primary immunodeficiency	KEGG DISEASE		2	138	0.0409516412333	0.0619808624072	7852|6774	None
Sex hormone-binding globulin levels	NHGRI GWAS Catalog		1	18	0.0425157924078	0.0626548519694	7026	None
Bone mineral density (hip)	NHGRI GWAS Catalog		1	18	0.0425157924078	0.0626548519694	1499	None
Rhegmatogenous retinal detachment	NHGRI GWAS Catalog		1	18	0.0425157924078	0.0626548519694	58497	None
Migraine	NHGRI GWAS Catalog		1	18	0.0425157924078	0.0626548519694	4209	None
Others	KEGG DISEASE		2	143	0.0436215935435	0.0638642938154	1499|7015	None
Allergic rhinitis	KEGG DISEASE	H01360	1	19	0.0447032563286	0.0646093497241	6352	http://www.genome.jp/dbget-bin/www_bget?H01360
Hematologic diseases	KEGG DISEASE		2	145	0.0447073625323	0.0646093497241	7157|7015	None
Leukemia, acute myeloid	OMIM	601626	1	20	0.0468857775727	0.0668943578107	7015	http://omim.org/entry/601626
Polycystic ovary syndrome	NHGRI GWAS Catalog		1	20	0.0468857775727	0.0668943578107	8091	None
Syndromic X-linked mental retardation with epilepsy or seizures	KEGG DISEASE	H00577	1	21	0.0490633671846	0.0686887140584	2316	http://www.genome.jp/dbget-bin/www_bget?H00577
Hereditary spastic paraplegia (SPG)	KEGG DISEASE	H00266	1	21	0.0490633671846	0.0686887140584	9420	http://www.genome.jp/dbget-bin/www_bget?H00266
Fasting insulin-related traits (interaction with BMI)	NHGRI GWAS Catalog		1	21	0.0490633671846	0.0686887140584	10253	None
Cancers of the lung and pleura	KEGG DISEASE		1	22	0.0512360361842	0.0687237850614	7157	None
Sleep duration	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	10253	None
Smoking behavior	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	7224	None
Cutaneous malignant melanoma	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	999	None
Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	7099	None
Cardiac hypertrophy	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	182	None
Orofacial clefts	NHGRI GWAS Catalog		1	22	0.0512360361842	0.0687237850614	10253	None
Non-syndromic autosomal dominant mental retardation	KEGG DISEASE	H00773	1	23	0.0534037955672	0.0707837290358	1499	http://www.genome.jp/dbget-bin/www_bget?H00773
HIV-1 susceptibility	NHGRI GWAS Catalog		1	23	0.0534037955672	0.0707837290358	9420	None
Epithelial ovarian cancer	NHGRI GWAS Catalog		1	24	0.055566656305	0.0727890702475	7015	None
Optic cup area	NHGRI GWAS Catalog		1	24	0.055566656305	0.0727890702475	650	None
C-reactive protein	NHGRI GWAS Catalog		1	25	0.0577246293446	0.073467710075	3569	None
Lung cancer	NHGRI GWAS Catalog		1	25	0.0577246293446	0.073467710075	7015	None
Melanoma	NHGRI GWAS Catalog		1	25	0.0577246293446	0.073467710075	7015	None
C-reactive protein levels	NHGRI GWAS Catalog		1	25	0.0577246293446	0.073467710075	114548	None
Neurodegenerative diseases	KEGG DISEASE		2	170	0.0590874414426	0.0741028206432	5274|10397	None
Diisocyanate-induced asthma	NHGRI GWAS Catalog		2	170	0.0590874414426	0.0741028206432	7291|2043	None
Ribosomopathies	KEGG DISEASE		1	26	0.059877725609	0.0741028206432	7015	None
Serum thyroid-stimulating hormone levels	NHGRI GWAS Catalog		1	26	0.059877725609	0.0741028206432	5218	None
Vertical cup-disc ratio	NHGRI GWAS Catalog		1	26	0.059877725609	0.0741028206432	650	None
Congenital disorders of DNA repair systems	KEGG DISEASE		1	27	0.062025955997	0.0759224816575	7157	None
Waist-hip ratio	NHGRI GWAS Catalog		1	27	0.062025955997	0.0759224816575	6935	None
Refractive error	NHGRI GWAS Catalog		1	29	0.0663078626182	0.0807226153613	650	None
Diabetes, type 2	OMIM	125853	1	30	0.0684415605289	0.0819055836561	3569	http://omim.org/entry/125853
Motion sickness	NHGRI GWAS Catalog		1	30	0.0684415605289	0.0819055836561	7026	None
Ulcerative colitis	NHGRI GWAS Catalog		2	187	0.0696513746076	0.0819055836561	999|6364	None
Charcot-Marie-Tooth disease (CMT)	KEGG DISEASE	H00264	1	31	0.070570435918	0.0819055836561	10397	http://www.genome.jp/dbget-bin/www_bget?H00264
Other immune system diseases	KEGG DISEASE		1	31	0.070570435918	0.0819055836561	114548	None
Cancers of soft tissues and bone	KEGG DISEASE		1	31	0.070570435918	0.0819055836561	7157	None
Cataract	KEGG DISEASE	H01202	1	31	0.070570435918	0.0819055836561	1410	http://www.genome.jp/dbget-bin/www_bget?H01202
Dialysis-related mortality	NHGRI GWAS Catalog		1	31	0.070570435918	0.0819055836561	3569	None
Testicular germ cell tumor	NHGRI GWAS Catalog		1	31	0.070570435918	0.0819055836561	7015	None
Heart rate	NHGRI GWAS Catalog		1	33	0.0748137622229	0.0863829007109	5274	None
Obesity-related traits	NHGRI GWAS Catalog		4	696	0.0766629393875	0.0879179824286	7291|57144|650|7099	None
Coronary artery disease	NHGRI GWAS Catalog		1	34	0.076928234625	0.0879179824286	6387	None
Urate levels in lean individuals	NHGRI GWAS Catalog		1	36	0.0811428514668	0.0922639529369	2043	None
Nickel levels	NHGRI GWAS Catalog		1	40	0.0895150716241	0.101269575979	5747	None
Systolic blood pressure	NHGRI GWAS Catalog		1	48	0.106033824728	0.11935465698	182	None
Prostate cancer (gene x gene interaction)	NHGRI GWAS Catalog		1	49	0.108077715034	0.121047040838	7026	None
Diastolic blood pressure	NHGRI GWAS Catalog		1	50	0.110116983593	0.122717434452	182	None
Mean platelet volume	NHGRI GWAS Catalog		1	55	0.120244361123	0.132033023978	2149	None
Thiazide-induced adverse metabolic effects in hypertensive patients	NHGRI GWAS Catalog		1	55	0.120244361123	0.132033023978	9420	None
Verbal declarative memory	NHGRI GWAS Catalog		1	55	0.120244361123	0.132033023978	9420	None
Reproductive system disease	KEGG DISEASE		1	57	0.124263319882	0.135121279872	8091	None
Reproductive system diseases	KEGG DISEASE		1	57	0.124263319882	0.135121279872	8091	None
Copper levels	NHGRI GWAS Catalog		1	65	0.14015837618	0.151668967461	650	None
Dental caries	NHGRI GWAS Catalog		1	66	0.142125086945	0.153057785941	4092	None
Waist-to-hip ratio adjusted for body mass index	NHGRI GWAS Catalog		1	68	0.146045171054	0.156526881895	650	None
Chronic kidney disease	NHGRI GWAS Catalog		1	69	0.147998564283	0.157865135235	58497	None
Muscular diseases	KEGG DISEASE		1	74	0.157699437888	0.166625821165	1410	None
Platelet count	NHGRI GWAS Catalog		1	78	0.165381415372	0.17392223964	2149	None
Kidney diseases	KEGG DISEASE		1	79	0.167291057613	0.174293939094	2335	None
Urinary system diseases	KEGG DISEASE		1	79	0.167291057613	0.174293939094	2335	None
Systemic lupus erythematosus	NHGRI GWAS Catalog		1	89	0.186151389723	0.193045885639	7301	None
LDL cholesterol	NHGRI GWAS Catalog		1	106	0.217249143541	0.224257180429	2335	None
HDL cholesterol	NHGRI GWAS Catalog		1	136	0.269286866457	0.274182991302	207	None
Amyotrophic lateral sclerosis (sporadic)	NHGRI GWAS Catalog		1	162	0.311608427879	0.315838406538	7852	None
Acne (severe)	NHGRI GWAS Catalog		1	185	0.347020150347	0.350146458008	378938	None
Congenital disorders of metabolism	KEGG DISEASE		1	592	0.74483621715	0.74483621715	7157	None

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
